Firm Name,Momentum_1,Long Short,Cluster Index
FLOWF.L^L18,-0.8607594936708861,0,0
IMM.L,-0.8293948126801153,0,0
WETI.L^I18,-0.7818181818181817,0,0
NGTE.L^G18,-0.6714285714285714,0,0
KSK.L,-0.6296296296296297,0,0
PANR.L,-0.4989010989010989,0,0
AVN.L^I19,-0.4623655913978495,0,0
0IYN.L^G18,-0.4408897014015843,0,0
SOLI.L,-0.3507853403141361,0,0
CHARC.L,-0.3414062500000001,0,0
EDLE.L,-0.308411214953271,0,0
BONH.L^G23,-0.3076923076923077,0,0
ALPHA.L^G18,-0.2941176470588236,0,0
KIBO.L,-0.2835820895522388,0,0
PELP.L^H19,-0.282051282051282,0,0
DP2Ex.L^K18,-0.2777777777777778,0,0
QED.L,-0.2641509433962264,0,0
ANCR.L,-0.2523364485981308,0,0
ZOLq.L^B22,-0.2272727272727273,0,0
EMEL.L,-0.2181818181818181,0,0
WBS_p.L,-0.2164948453608247,0,0
WSG.L,-0.2111111111111111,0,0
BOIL.L,-0.1999999999999999,0,0
RFGR.L,-0.1999999999999999,0,0
JIL.L^L18,-0.1912087912087913,0,0
POWP.L,-0.1904761904761904,0,0
MACT.L,-0.1891891891891892,0,0
0QAX.L^F19,-0.1885873347251219,0,0
XTR.L,-0.1875,0,0
CEPS.L,-0.1827956989247311,0,0
QRT.L,-0.1814946619217082,0,0
0QFR.L^G21,-0.1768242715696231,0,0
AMAMP.L^A20,-0.1724137931034483,0,0
IQE.L,-0.172,0,0
RUR.L,-0.1666666666666667,0,0
0OQF.L^D21,-0.1647058823529412,0,0
BSTH.L,-0.1626666666666666,0,0
SCPA.L^D21,-0.1617529880478087,0,0
BLUS.L,-0.16,0,0
B90.L,-0.1597633136094675,0,0
SCLP.L,-0.1561388941428465,0,0
0KLP.L^K19,-0.1553254437869824,0,0
ASOS.L,-0.1542217116599655,0,0
VITA.L^I20,-0.1528925619834711,0,0
AKR.L^C19,-0.1523809523809524,0,0
RNO.L,-0.143859649122807,0,0
GRIT.L,-0.1428571428571429,0,0
PGRP.L^I22,-0.1398373983739838,0,0
VRP.L^J20,-0.1388888888888888,0,0
RWS.L,-0.1348182883939038,0,0
SMRTS.L,-0.1306532663316583,0,0
CIHL.L^K21,-0.125,0,0
CPPG.L,-0.1244725738396624,0,0
SLPL.L,-0.1232876712328767,0,0
TEP.L,-0.1182266009852216,0,0
HERS.L^H19,-0.1176470588235295,0,0
CADP.L,-0.1153846153846154,0,0
MDZE.L,-0.1142857142857142,0,0
INGI.L,-0.1124031007751937,0,0
DSG.L,-0.1088082901554404,0,0
EUZ.L,-0.1081081081081081,0,0
CAML.L,-0.1074249605055291,0,0
RUA.L,-0.1058823529411765,0,0
RECL.L,-0.1039755351681954,0,0
SRSP.L^H19,-0.1025641025641025,0,0
OBC.L,-0.1018518518518518,0,0
0OLN.L^I21,-0.1015035492705829,0,0
VRS.L,-0.10062893081761,0,0
SOU.L,-0.1003541000962192,0,0
DWHT.L,-0.0995670995670995,0,0
STLO.L^J19,-0.0979381443298968,0,0
BMKB.L,-0.0973451327433628,0,0
CERP.L^H20,-0.0964912280701754,0,0
WRESW.L^E22,-0.0964912280701754,0,0
VELA.L,-0.0952380952380953,0,0
HNG.L,-0.0933333333333333,0,0
BSDB.L^F21,-0.0930232558139535,0,0
IOFI.L,-0.09125,0,0
POLO.L^J20,-0.0893617021276595,0,0
ARDN.L^D22,-0.0879120879120879,0,0
CRV.L,-0.0869565217391303,0,0
GLDP.L,-0.0847457627118644,0,0
0QBE.L^K19,-0.084551811824539,0,0
MAIH.L,-0.0838709677419354,0,0
URU.L,-0.0833333333333333,0,0
HALHx.L^C19,-0.0833333333333333,0,0
STAR.L,-0.0802675585284281,0,0
TCSq.L,-0.0795454545454545,0,0
GMAA.L,-0.0794701986754966,0,0
AFN.L,-0.0769230769230769,0,0
AOGL.L^L20,-0.0769230769230769,0,0
CBUY.L^B20,-0.0769230769230768,0,0
FXPO.L,-0.0740740740740742,0,0
GDRG.L,-0.0740740740740741,0,0
RBDR.L,-0.0740740740740741,0,0
RMM.L^D23,-0.074074074074074,0,0
VGAS.L^D21,-0.0727272727272727,0,0
LOGP.L,-0.0727272727272727,0,0
CTEA.L,-0.0714285714285715,0,0
TSTRE.L^L20,-0.0714285714285714,0,0
KMR.L,-0.0707964601769911,0,0
SRB.L,-0.0666666666666666,0,0
CCH.L,-0.0660377358490567,0,0
WEN.L,-0.0642857142857142,0,0
CNN.L,-0.0642570281124498,0,0
NBB.L,-0.0638297872340425,0,0
TKM8.L,-0.0638297872340425,0,0
N4P.L,-0.0635294117647059,0,0
ACPA.L,-0.0625,0,0
0QY3.L^L18,-0.0625,0,0
CMET.L,-0.0612244897959183,0,0
ARSA.L,-0.0612244897959183,0,0
ALBA.L,-0.0609756097560975,0,0
