firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
39116,2.2573966617,0.0080234974,-25.6680203,0.0,0.7191775915,3.8153879218,0.0248490078,-0.081909981,0.3709702366,0.0,-0.275580892,0.0081099451,3.1428571429,-0.017193209,0.0081099451,11.0,-0.086628958,-0.057142857,-0.017452265,-0.221310175,0.2819698514,0.1654196607,0.4235124424,-0.276222463,0.0035669926,0.5131442118,0.0,2.8110205666,0.2920747273,1.6409261415,0.6612662909,54.070050761,4.6632519044,0.1962589446,0.0,0.0,1.0,0.0,0.0,0.5268639129,6.0,0.0367262168,-0.379110788,1.2455190996,-1.491593942,-1.362081674,-0.679103986,-96.37855766,0.0759736259,9.8872184251,0.0,-0.024813478,-0.032718733,-0.060492282,0.0363422271,0.0414241258,0.0,-0.018823529,1.6000748223,-0.076190479,1.0,9.3147679526,0.6576079821,0.0,0.0303030312,0.0288449286,0.0386007704,0.7018289794,1.4572178511,7.9378915e-07,5.5157282e-08,1.7019896261,2.8967686873,-0.226216135,0.0745998875,-0.704210532,0.5126871993,0.2592592592592593,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.3600000000000001,0.5454545454545454,0.4782608695652173,0.4166666666666667,0.5454545454545454,0.5454545454545454,0.4166666666666667,0.4782608695652173,0.5454545454545454,0.3600000000000001,0.5454545454545454,0.4782608695652173,0.3076923076923077,0.3600000000000001,0.5454545454545454,0.2592592592592593,0.096774193548387,0.0303030303030302,-0.081081081081081,-0.081081081081081,-0.081081081081081,-0.0285714285714285,0.0625,0.0,-0.3199999999999999,-0.3584905660377359,-0.2608695652173913,0.0303030303030302,0.2142857142857142,0.3076923076923077,0.2142857142857142,0.3076923076923077,0.5454545454545454,0.3600000000000001,0.4782608695652173,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.4782608695652173,0.4166666666666667,0.4166666666666667,0.7,0.5454545454545454
50032,0.4856261439,0.0796817505,0.6702622555,0.0236180416,0.5672636595,4.7375111952,0.1500150361,0.0888209233,1.1342407027,0.0058081496,0.0474555585,0.0717416001,0.9093056045,0.0072266882,0.0717416001,12.0,0.0325182979,0.0882352941,0.0685319582,0.1024724714,0.0017396454,0.1111230509,0.0431863311,0.1324031152,0.141477359,0.6006355275,0.0,1.6026266395,0.0139480746,0.741195566,-0.054927932,25.706121412,146.56345942,0.2450055515,0.0,0.0,1.0,0.0,0.0,2.5290051692,4.0,-0.001623958,-1.121090342,-0.161700185,-0.548193635,0.5687003679,-0.047796616,523.52048562,0.0586794922,14.277759037,0.0002701195,0.024847384,0.0553797182,0.0680716766,0.1750375239,-0.006794735,1.0,0.0001151751,1.0075173096,-0.022177075,4.0,13.438245076,0.3995715587,0.0,0.0578034669,0.0213228558,0.0229238493,0.6053098728,0.937592687,9.0201535e-09,6.6451218e-08,0.940338381,0.8842362708,0.2469927954,0.0334117434,0.2682818367,0.5387697808,-0.0115384615384614,0.028,0.0936170212765956,0.16289592760181,0.1473214285714286,0.0889830508474576,0.00390625,0.028,0.0663900414937759,0.0489795918367346,0.0404858299595141,0.1271929824561404,0.1077586206896552,0.1271929824561404,0.1321585903083699,0.1422222222222222,0.16289592760181,0.2536585365853658,0.2722772277227723,0.3526315789473684,0.2660098522167486,0.2722772277227723,0.2849999999999999,0.2536585365853658,0.1843317972350231,0.1788990825688072,0.2122641509433962,0.1422222222222222,0.2914572864321607,0.2238095238095239,0.2065727699530517,-0.3091397849462365,-0.3376288659793814,-0.3307291666666666,-0.3054054054054054,-0.2396449704142011,-0.3201058201058201,-0.3376288659793814,-0.252906976744186,-0.201863354037267,-0.0821428571428571,-0.0821428571428571,-0.0410447761194029,0.1473214285714286,0.0982905982905983,0.16289592760181,0.1843317972350231,0.2122641509433962
17304,0.7689440622,0.097319416,-55.48368861,0.028288162,0.9246899557,2.6512937326,0.0452563667,0.0359521192,0.6021373562,0.0992370052,-0.061368395,0.039465595,0.6748956208,0.0316389683,0.039465595,12.0,0.0117746209,0.015625,0.0480044827,0.0225968469,0.01250308,0.0879428987,0.0449221741,0.0410241729,0.1835178167,0.5874212253,0.0,2.3054086503,0.0767490245,1.4474686485,0.0659310281,511.0308562,4.1443218524,0.1567844939,0.0,0.0,0.0,1.0,0.0,1.4383944777,6.0,0.0089132663,-0.070407411,-19.03711983,-0.356405612,-0.002060855,20.166825926,442.0171173,0.1102458454,14.681959153,-0.000644706,0.0323984492,0.079962905,0.0214166872,0.0030633125,-0.00509848,1.0,-0.00216116,-0.138727462,0.0016889819,3.0,14.481189672,0.8444803035,0.0,0.0398009941,0.0165823245,0.0289328812,0.7052988655,3.4557349563,1.6599655e-09,2.3410597e-08,1.0592290405,1.1219661603,0.1954731826,0.0324663074,0.0159808604,0.3026974906,0.0636704119850186,0.0819047619047619,0.2085106382978723,0.3178654292343388,0.2622222222222221,0.2566371681415929,0.1882845188284518,0.211087420042644,0.2678571428571428,0.2401746724890829,0.2938496583143508,0.3653846153846154,0.4343434343434342,0.4416243654822336,0.3333333333333332,0.4639175257731958,0.4986807387862797,0.6511627906976745,0.6904761904761905,0.7974683544303798,0.7530864197530864,0.7423312883435582,0.6559766763848396,0.595505617977528,0.4869109947643979,0.3271028037383177,0.3853658536585365,0.4199999999999999,0.4791666666666667,0.3459715639810425,0.3178654292343388,0.4830287206266319,0.5106382978723405,0.6090651558073654,0.832258064516129,1.0141843971631204,0.862295081967213,0.9929824561403509,1.1037037037037036,1.4588744588744589,1.5132743362831858,1.6296296296296298,1.4695652173913043,1.5244444444444445,1.2811244979919678,1.502202643171806,1.5357142857142856,1.6919431279620851
47730,0.7612319831,0.0593533515,-11.76596932,0.0372636857,0.838325986,5.0402105588,0.0822642316,0.2403733633,0.6325706967,0.0178025035,0.4951997457,0.0853085247,2.0762762763,-0.063880604,0.0853085247,11.0,0.0136299513,0.1304347826,0.1337718712,-0.155211681,-0.069184209,0.2810940307,-0.00269761,0.0611552885,0.0443578625,0.5088707564,0.0,1.4865874885,-0.169181643,1.3009453602,-0.163276777,118.31771269,6.2861271248,0.180522525,0.0,0.0,0.0,0.0,0.0,1.1000293437,1.0,0.0284321078,-0.024623007,0.3393491586,0.9192432627,-0.847300357,0.0688767801,-350.5731101,0.191441564,11.456656655,0.0005224237,0.0120269808,0.0252719979,0.2530532892,0.0012536749,-0.002748709,1.0,0.0003932203,4.0527081061,0.1658156887,5.0,10.097459727,0.3856667566,0.0,0.0275229365,0.0120237961,0.0088647689,0.9811953891,1.0444936915,1.3872221e-07,9.0220989e-08,1.0280908556,1.0569708074,0.1371555622,0.0328565986,0.3744193459,0.1428913195,-0.1149999999999999,-0.0585106382978722,-0.0380434782608695,-0.1149999999999999,-0.1954545454545454,-0.2270742358078602,-0.1728971962616822,-0.1611374407582938,-0.1407766990291262,-0.144927536231884,-0.1149999999999999,-0.1149999999999999,-0.082901554404145,-0.0166666666666667,0.0172413793103447,0.0535714285714286,-0.0876288659793814,0.0056818181818181,-0.0684210526315789,-0.0380434782608695,-0.0432432432432432,-0.0056179775280899,-0.0876288659793814,-0.0483870967741935,-0.1015228426395938,-0.0483870967741935,-0.0380434782608695,-0.0876288659793814,-0.0969387755102041,-0.1490384615384615,-0.1954545454545454,-0.268595041322314,-0.2624999999999999,-0.1323529411764705,-0.1611374407582938,-0.3832752613240417,-0.2891566265060241,-0.3345864661654135,-0.3031496062992126,-0.2098214285714286,-0.0585106382978722,-0.0969387755102041,-0.078125,0.0350877192982457,-0.0274725274725274,0.1062499999999999,0.0411764705882353,0.0925925925925925
44652,0.378940807,0.0762361915,-11.80602687,0.0231230533,1.2037411849,6.8549400035,0.1269083453,-0.020709691,0.9454328604,-0.00682896,-0.063693189,0.0560508859,1.2696899074,-0.020560131,0.0560508859,11.0,0.0224610503,-0.008196721,0.1461209999,0.3296012205,0.0124461315,0.1052314376,0.25102913,0.0402425407,0.1345529825,0.5054518728,0.0,1.1936413671,0.0233322515,0.1670258569,-0.256782449,462.99876663,110.47787977,0.1340132217,0.0,0.0,1.0,0.0,0.0,4.743773199,5.0,-0.0057916,-1.217522357,-0.268385522,-0.688594548,0.7405180363,-0.075583435,1481.5993606,0.0586794922,14.483606562,-0.003994076,0.0160683222,0.0578032019,-0.168842411,0.0086639411,0.0072030229,1.0,-0.016354729,5.8645694875,-0.092666245,0.0,13.235249107,0.4337253655,0.0,0.0258302577,0.0229344907,0.0221171021,0.7351562901,2.2293920768,3.5413434e-09,4.2737133e-08,1.3830750782,1.9128966721,0.1434952614,0.037038877,-0.140803843,0.5387697808,-0.0038610038610038,0.0,0.0466531440162272,0.134065934065934,0.1096774193548386,0.0705394190871369,-0.0337078651685393,0.0617283950617284,0.2524271844660195,0.2112676056338027,0.1889400921658985,0.286783042394015,0.6125,0.7086092715231789,0.7029702970297029,0.6074766355140186,0.7315436241610738,0.8297872340425532,0.9922779922779924,1.195744680851064,1.064,1.039525691699605,1.0077821011673151,0.9545454545454546,0.6277602523659307,0.5311572700296736,0.5402985074626865,0.6538461538461537,0.8970588235294117,-0.355,-0.3676470588235294,-0.1962616822429906,-0.1540983606557376,-0.1912225705329153,-0.1239388794567062,0.0038910505836575,-0.0076923076923076,-0.0652173913043477,0.0058479532163742,0.1517857142857142,0.2932330827067668,0.4098360655737705,0.4333333333333333,0.6277602523659307,0.6591639871382637,0.7793103448275862,1.031496062992126,1.411214953271028
44548,0.3891301625,0.0427053699,6.9712125512,0.004378763,0.3338079462,1.5329542514,0.0767313866,1.1196404366,1.3381980266,1.7730249572,0.8477006951,0.2881946102,3.5901850521,-0.110614811,0.2881946102,12.0,0.2983807267,1.0720720721,0.8497446895,-1.378369029,0.0027625458,0.0998426651,-0.124432601,0.9729427931,1.9512962265,0.5455870948,0.0,2.7424264405,-0.099404093,0.6342996188,-0.329305892,24.920304062,50.640106242,0.2576233963,0.0,0.0,1.0,0.0,0.0,3.3122738324,3.0,-0.002346918,0.9860396606,-19.41693373,-0.330236989,-1.135610232,20.024572147,-249.3597577,0.1102458454,13.762254154,0.0179534105,0.0211127333,0.0576997589,0.2811834456,0.0850893829,-0.138200512,3.0,0.0066839876,0.3557202642,0.1294272197,5.0,13.658669888,0.8002765511,0.0,0.0599999987,0.022005293,0.0430419917,0.739705277,4.1246838425,4.3967671e-09,1.8652805e-08,1.1510517551,1.3249201428,0.2167051943,0.0485142735,-0.373931207,0.3026974906,0.0,0.0099502487562188,-0.4407713498622589,-0.3940298507462686,-0.428169014084507,-0.4232954545454546,-0.4740932642487047,-0.4345403899721448,-0.3958333333333333,-0.2852112676056337,-0.2724014336917563,-0.1398305084745762,-0.0558139534883721,-0.0730593607305936,-0.1212121212121212,-0.117391304347826,-0.0469483568075117,-0.5567685589519651,-0.5,-0.3922155688622755,-0.3187919463087248,-0.3734567901234568,-0.3885542168674698,-0.3575949367088608,-0.4657894736842105,-0.518957345971564,-0.4329608938547485,-0.4754521963824289,-0.5690021231422505,-0.6003937007874016,-0.5823045267489713,-0.5290023201856149,-0.4361111111111111,-0.4297752808988764,-0.3867069486404834,-0.3187919463087248,-0.2425373134328358,-0.2951388888888888,-0.0896860986547085,-0.0049019607843137,0.0913978494623655,0.1153846153846154,0.0304568527918782,0.0463917525773196,0.0463917525773196,0.1534090909090908,0.1032608695652173,0.1941176470588235
60871,0.3664707901,0.0458529708,30.541090787,0.0,0.1694670187,0.4969763478,0.1462710701,0.174411575,0.6581849254,0.2692338167,0.0904321263,0.1127373547,1.2199475595,-0.010085249,0.1127373547,11.0,0.0120438325,0.0063038453,0.0287315981,0.0953883529,-0.028249017,0.1420470443,0.0350325264,0.2415506253,0.2177950562,0.51723569,0.0,2.5650977479,0.0972881582,1.2640544282,0.0428473089,28.626742431,5.7067027735,0.4990511074,0.0,0.0,1.0,0.0,0.0,0.9732679759,2.0,-0.111891065,0.0254252613,-0.177656806,0.7503038585,0.4288172005,-0.025046603,383.28460316,0.0510165814,13.557159916,-0.003696737,0.0171858958,0.0251321583,-0.003266259,0.0167806557,-0.142427461,1.0,5.04855e-05,0.0756939372,-0.069172718,6.0,13.721062369,0.6636314567,0.0,0.0349650346,0.0210470656,0.0277260612,0.5221639926,0.9141725084,1.6364131e-08,6.1511167e-08,1.9929503168,3.9718509651,0.2525361976,0.0429008953,-0.506633892,0.0352915699,-0.023696682464455,0.0673575129533678,0.271604938271605,0.271604938271605,0.1573033707865168,0.08994708994709,0.2638036809815951,0.1704545454545454,0.3918918918918919,-0.0283018867924528,-0.0720720720720721,-0.041860465116279,0.08994708994709,0.10752688172043,0.1195652173913044,0.1256830601092895,-0.092511013215859,0.1381215469613259,0.0510204081632652,0.1638418079096044,0.1508379888268156,-0.1380753138075313,-0.1792828685258963,-0.1487603305785123,-0.3354838709677419,-0.3813813813813813,-0.2746478873239436,-0.3562499999999999,-0.2896551724137931,-0.2454212454212454,-0.2822299651567944,-0.1857707509881423,-0.041860465116279,-0.225563909774436,-0.2509090909090908,-0.2196969696969697,-0.0678733031674208,-0.092511013215859,0.10752688172043,0.2560975609756097,0.177142857142857,0.3825503355704698,0.4013605442176871,0.4609929078014185,0.2955974842767295,0.1704545454545454,0.2189349112426035,0.2795031055900621
45583,0.4368039829,0.0642310356,7.9050682679,0.0205618672,0.2483295589,1.0073143798,0.181760638,0.1318029993,0.5267427718,0.0025895555,0.1715673289,0.0650243566,0.6542339297,0.0222089128,0.0650243566,12.0,0.0343541296,0.0806451613,0.092104836,0.0157068732,0.0038679304,0.1283480542,-0.083669265,0.105192969,0.1107303654,0.5770692025,0.0,4.0857970826,-0.111941065,1.8934943996,-0.094520319,19.236471513,6.6664767378,0.38095393,0.0,0.0,1.0,0.0,0.0,0.7886956605,3.0,0.0056155056,0.1035879113,-0.226730767,0.2265436575,-0.075439882,0.0538513825,-31.68087894,0.1859016259,12.356753025,-0.001068106,0.0214692291,0.0328374598,0.0277938947,0.0763104349,0.0315001776,0.0,-0.002434783,2.1260424112,-0.014385436,2.0,11.064941611,0.4305988603,0.0,0.0355329961,0.018301448,0.0181188824,0.9858802344,3.9460400111,4.4369152e-08,3.5346741e-08,1.1056393541,1.2224383813,-0.166509133,0.0409396797,-0.180025108,0.3484997887,0.0648148148148148,0.0747663551401869,0.1219512195121952,0.2169312169312169,0.1165048543689319,0.07981220657277,0.1855670103092783,0.25,0.369047619047619,0.4375,0.3855421686746987,0.3772455089820359,0.619718309859155,0.5972222222222223,0.5333333333333334,0.4024390243902438,0.3450292397660819,0.513157894736842,0.4556962025316455,0.7164179104477613,0.513157894736842,0.4375,0.4556962025316455,0.3450292397660819,0.270718232044199,0.1499999999999999,0.2299465240641711,0.1330049261083743,0.069767441860465,0.0,-0.1544117647058823,-0.0043290043290042,0.1165048543689319,-0.2628205128205128,-0.2834890965732087,-0.1636363636363637,-0.1666666666666666,-0.1605839416058394,0.0,0.1794871794871795,0.1979166666666667,0.4024390243902438,0.3855421686746987,0.5032679738562091,0.5333333333333334,0.513157894736842,0.270718232044199,0.1616161616161615
57920,0.6648837413,0.0568711655,-0.038123268,0.0165928532,0.5253806228,2.1207738499,0.0644010459,0.0550606025,0.4025956399,0.0,0.0419129952,-0.005207894,-0.106152612,0.0629081883,0.0052078942,11.0,0.0024311001,-0.074074074,0.0888930894,0.1274236041,0.0149614699,0.2038877179,-0.09891816,0.0235709974,0.0656866841,0.6177080164,0.0,2.96509756,-0.04791697,1.4690930602,-0.034424394,10.490379037,7.3586818901,0.1490350691,0.0,0.0,1.0,1.0,0.0,0.7026214099,5.0,-0.044380234,-1.196639594,0.0148175687,-1.961507049,0.434124759,0.4503360339,208.38752294,0.5816114228,12.82943691,0.0027313954,0.0114730153,0.020198434,0.0020436738,0.1247930199,-0.002205918,0.0,0.0028663172,0.0982335933,-0.028307608,4.0,11.961626452,0.3897070946,0.0,0.075000003,0.0305222171,0.041643661,0.574844855,0.7009415336,4.8418536e-08,7.8214187e-08,1.3005490771,1.691427902,-0.099497531,0.0418579774,-0.354353045,0.1598587734,0.0691823899371069,0.0625,0.2142857142857142,0.2781954887218045,0.2781954887218045,0.2592592592592593,0.5044247787610618,0.4285714285714286,0.5454545454545454,0.3709677419354837,0.1643835616438356,0.1409395973154361,0.2230215827338129,0.3492063492063493,0.2781954887218045,0.1643835616438356,0.1111111111111111,0.25,0.2781954887218045,0.2318840579710144,0.1724137931034481,0.0493827160493827,0.0,0.0179640718562874,-0.1237113402061855,-0.1370558375634517,-0.0502793296089385,-0.15,-0.1370558375634517,-0.0957446808510638,-0.1237113402061855,-0.0957446808510638,-0.0909090909090909,-0.2201834862385321,-0.1005291005291005,0.0119047619047618,-0.0760869565217391,0.096774193548387,0.2142857142857142,0.5178571428571428,0.5044247787610618,0.7171717171717171,0.7525773195876289,0.5454545454545454,0.4049586776859504,0.4782608695652173,0.4166666666666667,0.6504854368932038
10559,0.6638164786,0.0812840939,-99.45858415,0.0376221435,0.8393715416,2.9778000254,0.1177830991,0.0979695207,0.5296646476,1.2748096571,0.1247200775,0.0872378477,1.5936121508,-0.048251226,0.0872378477,12.0,0.0388829015,0.0317460317,0.067787848,-0.065015557,-0.006698244,0.092517786,0.0534453829,0.0899721459,0.1536188372,0.5251867716,0.0,1.7106119892,0.0931153202,0.6291302805,0.087543461,856.1686747,10.938408156,0.1775200183,0.0,0.0,1.0,0.0,0.0,1.2118761684,2.0,0.0041126351,-0.05428638,-19.14224742,-0.007536877,0.1603007155,20.086935732,277.9597423,0.1102458454,14.569035389,-0.002537381,0.0347104586,0.0814350722,0.0131926388,0.0017420781,-0.008489112,3.0,-0.000679767,-0.392682844,-0.049185897,4.0,15.564661281,3.0918627965,0.0,0.0319829434,0.0095051967,0.0110036202,0.4175949086,1.766557381,8.87166e-10,2.7748137e-08,1.1603202197,1.3463430122,0.0620990192,0.0460898899,0.2733096789,0.3026974906,0.1122112211221122,0.0664556962025315,0.1620689655172413,0.3983402489626555,-0.3519230769230769,-0.3405088062622309,-0.3736059479553903,-0.3782287822878228,-0.3136456211812627,-0.2752688172043011,-0.278372591006424,-0.2814498933901919,-0.1780487804878049,-0.2460850111856823,-0.2705627705627705,-0.2905263157894736,-0.2814498933901919,-0.2323462414578587,-0.2162790697674418,-0.1037234042553191,-0.1131578947368421,-0.1358974358974358,-0.2126168224299065,-0.2070588235294117,-0.2814498933901919,-0.3861566484517303,-0.3793738489871087,-0.3629489603024575,-0.3008298755186722,-0.3544061302681992,-0.2979166666666667,-0.2288329519450801,-0.292016806722689,-0.276824034334764,-0.0560224089635854,-0.0480225988700564,-0.0533707865168538,-0.0371428571428571,-0.0817438692098092,0.0274390243902438,0.1196013289036543,0.2527881040892192,0.2389705882352941,0.3480000000000001,0.2961538461538462,0.3373015873015872,0.4219409282700421,0.4525862068965518
