firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,secured,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,chmom,turn,IPO,indmom,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
47730,0.6473812778,8.63002e-05,-1.832088889,0.0212730101,0.9823556735,2.5836566946,0.0851686523,0.0228294427,0.2379353301,0.0026588154,0.0585883009,-0.122444608,-39.76095618,0.1974118074,0.1224446081,46,0.0,-0.185714286,-0.078632321,0.0865914773,0.2051870073,0.348265896,-0.512622308,0.0455776418,-0.027042802,0.3151695835,0,1.461039619,0.0337479631,1.461039619,0.0337479631,15.189244039,6.605913504,0.0436393206,0.0,0.0,1,1.0,0,0.0,0.5408560311,6.0,-2.959039287,-0.081587985,-0.400538717,0.5695120833,-28.26311327,8.3760761215,0.1998047538,-12280.80278,0.03476008,15.02361085,0.0008395169,0.0144753701,0.0365878867,-0.070507299,0.1043713098,-0.040657081,0.0,-0.000288018,0.6927520902,0.019051929,4.0,15.416571248,0.0417387362,1.3732850695,0,1.0365762977,0.0402645357,0.017966089,0.022215479,0.3348029282,1.9563929221,8.048617e-10,2.0403965e-08,1.1910141212,1.4185146369,-0.008917879,0.0461789008,-0.052918712493180475,-0.08966963817514428,-0.032869080779944326,-0.04352617079889798,0.1298405466970387,0.006668599594085167,0.4252873563218391,0.054678007290400954,-0.08966963817514428,-0.07928931317952803,-0.08607528296920253,-0.04772353263850804,-0.04405286343612336,-0.06816961889425655,-0.17510097410311243,-0.132,-0.04220689655172416,-0.08559388991308925,-0.044841815680880415,-0.02636006730229945,0.015501608657502164,0.08128308938025541,0.09595959595959602,0.1291056910569106,0.07658914728682165,0.09457755359394704,0.11282051282051286,0.189856065798492,0.21995783555867887,0.11532283970446522,0.0370370370370372,-0.012514220705346912,-0.0870365500920327,-0.07953340402969244,-0.1887850467289719,-0.17274243507267095,-0.16758571086070495,-0.21854602745892415,-0.2218735992828328,-0.1637764932562621,-0.19330855018587356,-0.19611021069692058,-0.20366972477064227,-0.14881098308408924,-0.14038128249566728,-0.14985308521057794,-0.21090909090909093,-0.11156601842374614
13777,0.2248086053,0.0126916281,3.84514307,0.0264035563,0.0976457199,0.2173615449,0.068522207,0.0618870498,0.4399975203,0.0327107295,0.110656703,-0.115693484,-2.853752596,0.0489103949,0.1156934844,38,0.0,0.0094339623,0.0621860799,-0.170050049,0.0455504082,1.4933652783,-0.306603481,0.0153307297,0.0420131406,0.6699509904,0,2.6479413376,0.0144612504,2.6479413376,0.0144612504,1.228688481,4.6173471428,0.3011950413,0.0,0.0,0,0.0,0,1.0,0.6192989957,6.0,-0.568774649,0.0644989554,-0.391859189,0.4675809388,-1.046428831,-0.585228027,0.1304441019,-9767.000534,0.0317627387,13.344778577,0.0006063226,0.0040917692,0.005727813,-0.00068935,0.5740356825,-0.000582198,0.0,0.0006811989,0.614168257,0.0416033366,7.0,12.807971594,0.3822696951,0.7176310733,0,1.0365762977,0.0338164829,0.0178873161,0.0260276907,0.4967778994,2.44310227,7.6668363e-09,3.4574665e-08,1.1255537383,1.2668712177,0.1253795083,0.0479340796,0.04558404558404572,0.03672316384180796,-0.10868245294474799,-0.06852791878172593,-0.24524421593830337,-0.10922330097087385,0.03307529908515128,-0.10759878419452884,-0.016744809109176195,-0.013440860215053863,-0.07147375079063889,-0.09438618136952504,-0.022636484687083902,-0.06852791878172593,0.10210210210210202,0.11634980988593147,0.1586424625098659,0.1335907335907336,0.22845188284518825,0.2666091458153581,0.3273056057866184,0.40478468899521536,0.4115384615384614,0.2754126846220677,0.21022258862324805,-0.18353726362625145,-0.018716577540107027,0.007549759780370646,0.11465451784358383,0.15047021943573657,0.12923076923076926,0.180064308681672,0.17158818834796485,0.26225279449699035,0.13710302091402005,0.18291700241740538,0.2922535211267605,0.33333333333333326,0.5134020618556703,0.42662779397473294,0.36685288640595903,0.3381950774840472,0.42801556420233466,0.41972920696324945,0.39942802669208755,0.42110358180058083,0.3321234119782215,0.40747842761265574
38746,2.1501270713,-0.14996042,-3.218790995,0.0,0.3055859558,0.4771652679,-0.006316002,-0.038436288,0.0353725256,0.0006151575,0.1258891801,-0.067628147,-1.129595121,0.0194341388,0.0676281466,46,-0.043854845,0.4545454545,0.463876549,1.2624631214,0.6629177094,2.2644628099,,-0.008805298,-0.057976983,0.4845309933,0,47.656375839,-0.171359702,11.784563758,0.0202628724,1.0731916352,205.27272727,-0.472504733,0.0,0.0,1,1.0568248389,0,0.0,0.0375531465,5.0,4.8846811025,0.0901523866,0.4024220345,97.612649965,-1.545967797,-5.008664294,4.5699789804,-1222.949792,0.1117171215,11.553424802,0.0098401113,0.0079807183,0.009348422,0.108948395,0.1639364814,0.0140520859,2.0,0.0610366102,2.3434095682,0.0187063096,2.0,9.8872209482,0.9860891493,0.6950248077,0,0.8507604975,0.1084612384,0.0525158567,0.0761259859,1.3176659481,5.1493053692,2.1796515e-07,2.0959129e-08,0.5704499572,0.3254131537,-0.052932868,0.0609225952,0.1625000000000001,0.4339207048458149,0.45964125560538105,0.44345898004434603,0.5463182897862233,0.3450413223140496,0.35624999999999996,0.11092150170648463,0.06768569694782944,0.08862876254180585,0.08590492076730594,0.10902896081771707,0.13910761154855633,0.21455223880596996,0.06721311475409841,-0.05102040816326536,0.2616279069767442,0.16666666666666652,0.13217391304347825,0.08862876254180585,0.04662379421221874,0.09411764705882342,-0.05102040816326536,-0.022522522522522626,-0.1094391244870041,-0.12146934589276803,-0.1154891304347827,-0.08695652173913049,-0.07132667617689015,-0.10206896551724143,-0.09457579972183594,-0.14566929133858275,-0.14566929133858275,-0.07264957264957261,-0.06465517241379315,-0.09288521026670005,-0.07000000000000006,-0.05102040816326536,-0.053779069767441845,-0.039823008849557584,0.0219780219780219,0.08319467554076532,0.015600624024960874,0.05510534846029169,-0.07528409090909094,-0.12264150943396224,-0.08823529411764708,-0.11919902584224062
60871,0.2739566017,0.0278744014,26.291409893,0.0202341328,0.2162494728,0.1279380911,0.0785784155,0.0035508472,0.1903433054,0.0032120379,-0.021975116,-0.036757029,-0.645274546,0.0458610431,0.0367570293,46,-7.5873e-05,-0.030487805,-0.064764612,-0.225989924,-0.00894261,0.5888260554,-0.114501787,0.0153977249,0.0246607194,0.1235623468,0,1.844478991,0.4017447906,1.398862699,0.5345459929,5.3066277726,7.5969932315,0.2121407775,0.0,0.0,0,0.0,0,0.0,0.3312476493,4.0,0.1580411241,0.0393141308,-0.068069482,-0.129505696,-0.449138598,-0.298987748,0.0281470649,27428.152663,0.0642905452,17.921601304,0.000965332,0.0178950801,0.0328188521,0.0018969264,0.0491815886,-0.045592535,3.0,0.0010124019,0.0829078964,0.0080565715,5.0,18.296005595,-0.03914786,1.9795206605,0,1.2819102606,0.0495578572,0.0210213033,0.0241932076,0.2249075968,2.8497180554,2.187394e-11,9.5952815e-09,0.912251247,0.8322023376,0.0005418649,0.0292187481,0.015333219119410657,0.01411704312114992,0.03204179364388349,-0.03351272015655582,0.04940239043824701,0.08147810218978102,0.32214166201896255,0.08693259972489686,0.08000000000000007,-0.002608549309996655,0.04940239043824701,0.11160086279658632,0.06086100420656937,0.0792133296913411,0.009109484079686814,0.05014618587755826,0.226764645001035,0.01970061940812129,0.12596181248218863,0.10817127898279733,0.1989682379121991,0.38098566934638245,0.289490861618799,0.4159598614263531,0.28195976638546405,0.19908952959028836,0.2328895360931975,0.23571726438698914,0.21969541057830821,0.3569547796222097,0.30066937342258315,0.3148086522462561,0.29005224205485414,0.33134898348871156,0.37649518058297526,0.2982475355969332,0.37553672972032026,0.4166367873789889,0.5001898493861536,0.523521850899743,0.3821128731343282,0.5555118110236219,0.4463697376449054,0.44672281215671905,0.5816653322658127,0.6321949876067199,0.5965786637931036,0.8491419656786274
14702,0.1953959844,0.0668498835,6.5225200418,0.0147036494,0.2175068743,0.3177539917,0.2668672886,0.174989487,0.4243061396,-0.002183406,0.0892691952,-0.008942166,-0.051119094,0.070267189,0.0089421659,46,0.0207844938,0.0909090909,0.1775739321,-0.000388961,0.0184551092,0.2025862069,-0.146682341,0.0520920942,0.2878013148,0.4961666443,0,2.9982058758,0.3063905085,2.1226732451,0.4021877482,2.997908679,5.5294117647,0.3537746292,0.0,0.0,0,0.0,0,0.0,0.9575115656,7.0,0.1327834479,0.1502917669,0.0900059523,-0.261094706,-0.112263427,-0.360628353,0.0180427626,45506.579635,0.0376507894,18.653760369,-0.001576955,0.0534221341,0.1181941687,0.0172527746,0.2566993245,-0.005300242,2.0,0.0013506669,0.3964441732,0.0495193209,7.0,19.384145459,0.2034300394,2.4755536494,0,0.9429068127,0.0460127294,0.0318896732,0.0350069283,0.2952152984,3.9112370424,1.545686e-11,8.8052208e-09,1.2644033875,1.5987159263,-0.007147135,0.043893237,-0.0037005887300253226,-0.03847402597402605,-0.07927871910461681,-0.0201819685690654,0.054289782840868606,0.19223027375201274,0.2926669576604102,0.019098417068134976,0.02138299706846003,-0.029652686762778546,0.022970639032815265,0.0915960191669738,0.18697394789579147,0.23344439816743012,0.1997164269799474,0.3188599421064351,0.5308865339881106,0.3439981847061493,0.49344427634896637,0.5448617631716222,0.5156090071647901,0.809102015882712,0.5887875536480685,0.8013990267639901,0.5324708926261319,0.37680148768014865,0.21797244499280266,0.2823121887854514,0.16640409610082707,0.19247030400644238,0.06509620571839592,0.02847716617468299,0.10441916837590881,0.15864632237871668,0.1224180405533446,0.049618996987417896,0.1370704549817623,0.31272163120567376,0.33671857368539815,0.4337932703945775,0.290976460331299,0.45850775671016986,0.5226221079691515,0.635284373274434,0.7293430656934305,0.8354508831732257,0.8394409937888196,1.0367950481430537
15537,0.8124525903,0.0200224743,-4.664325724,0.0224470264,0.5155189543,1.5189989264,0.0237512787,-0.019490179,0.4626039014,0.0150927124,-0.079641522,-0.012433852,-0.832859579,0.0366983839,0.0124338523,40,0.0319460889,-0.024064171,-0.023496784,0.1341290357,-0.06143946,0.4860391368,-0.179927464,0.0684467529,0.0229308492,0.3760247377,0,2.2472073822,-0.114691891,0.9797885456,-0.255201267,31.406448576,6.745147594,0.1702276263,0.0,0.0,1,0.8577940849,0,1.0,0.7770118237,4.0,0.2000368804,0.0459670739,-0.065244851,0.9681519073,-0.208080786,0.918265795,0.0081463553,-6867.676268,0.0394668682,11.665195807,0.0017715157,0.0001116081,0.0001791695,-0.094216885,0.0847505494,0.0141353718,1.0,-0.002531646,2.0459095054,0.0591820758,5.0,11.692489714,0.0602640345,0.8503203798,0,0.9429068127,0.0770805031,0.0252760008,0.0354652392,0.6173785208,1.4616063548,7.2419427e-08,4.9760414e-08,0.9998222527,0.999644537,0.0919567577,0.0618075943,-0.014962593516209433,0.15328467153284686,0.1482558139534884,-0.007537688442211032,0.22861586314152427,0.12375533428164998,0.01804123711340222,-0.2725598526703499,-0.3649517684887459,-0.42419825072886297,-0.488673139158576,-0.5018915510718789,-0.5114409400123686,-0.5191722458916616,-0.67328370554177,-0.6942724458204335,-0.6915267473643107,-0.6842525979216627,-0.6125551741049534,-0.5927835051546391,-0.6046046046046045,-0.5786666666666667,-0.5973496432212029,-0.5910973084886129,-0.6342592592592593,-0.6433408577878104,-0.56353591160221,-0.5809018567639257,-0.582010582010582,-0.5574229691876751,-0.4903225806451613,-0.41263940520446096,-0.41481481481481475,-0.4296028880866426,-0.4592004381161008,-0.373015873015873,-0.39230769230769225,-0.4191176470588235,-0.427536231884058,-0.3875968992248062,-0.4336917562724014,-0.46621621621621623,-0.4819672131147541,-0.41697416974169743,-0.43021586884867546,-0.44561403508771924,-0.40092515356032454,-0.4588299767091383
68830,0.8458239595,0.0156653987,-0.07595966,0.0,0.0989153815,0.8817381569,-0.051344277,0.061751023,0.0752917417,0.0030288538,0.7952683562,-0.006000648,-0.392621516,0.0218159713,0.0060006482,36,0.0353062831,0.0078740157,-0.141033676,-0.137101415,-0.214161354,0.1281727019,-0.057748923,0.077436449,0.0205376434,0.6712298213,0,8.5804930536,-0.417664097,7.4527991392,-0.453939535,2.0210110035,22.004105695,0.8336026733,0.0,0.0,0,0.0,0,0.0,0.0903249121,3.0,24.634940183,-0.157684335,-0.139527821,0.9722766995,-2.679342783,-0.146771352,0.3191249783,-4920.601153,0.0234037525,13.262841155,0.0167513554,0.0191303685,0.0233878774,0.0860726908,0.427591911,0.0220347954,2.0,0.0056403907,0.1439507378,0.186160326,4.0,12.634129764,-0.1151363,0.7812639074,0,0.6630068927,0.19714728,0.0535454227,0.0457704125,0.549573194,1.701656862,1.8744226e-08,3.2455634e-08,1.269594068,1.6118690974,0.0215343299,0.0518777161,0.10791037951531779,0.17659436710909682,0.06661775495231104,0.04785930517514769,0.239386189258312,0.22209145931405527,0.56288970113954,0.03828024567918864,-0.035301924353019154,-0.11310395314787702,-0.20860097985846482,-0.10170538803756801,-0.047687671950740196,0.0583867210250435,-0.025603217158176927,-0.0028806584362141008,0.07736771898621608,-0.13986510472133484,-0.09825083736509121,-0.08806925103500185,-0.0032908268202387347,0.06724416385259135,0.04454663026296868,-0.019954159363624213,-0.03785572468563869,-0.09791511541325393,-0.05597402597402601,-0.10226009633197486,-0.04380426203630616,-0.027948649371489775,-0.0015109890109890056,-0.09947968285431119,-0.1097366809552971,-0.12199541007368053,-0.20592090889228765,-0.1756634157405308,-0.2253010764147927,-0.16081736319556694,-0.27295459091818364,-0.2472038111019056,-0.23580740117746013,-0.23225602027883407,-0.196706818432976,-0.1265320836337419,-0.1245333012164278,-0.2638987341772152,-0.25583538083538093,-0.07975693125712113
85631,-0.003220736,0.0049665551,21.183701253,0.0,0.1462968833,0.0758134789,0.0957191623,0.3066269136,0.6419056077,0.0,0.2790024493,-0.220121923,-5.597202797,0.0327653709,0.2201219233,35,0.0,0.0520833333,0.2741458479,-0.101144053,0.0129312317,0.2076602831,-0.664652164,0.0938002199,-0.340445709,0.4258349651,0,0.8260748012,0.1734341559,0.8260748012,0.1734341559,1.7759396865,5.0196228729,0.0602566949,0.0,0.0,0,0.0,0,0.0,-7.589089735,7.0,-0.467630169,0.0597395703,-0.349209818,0.2395515978,-0.587862239,0.1861929775,0.1142990779,32890.673146,0.0317627387,17.956944044,-0.001151571,0.0230021053,1.4825473972,0.002119883,0.2717638153,-0.034412823,2.0,0.0003821007,0.3122814841,0.0633249688,6.0,17.942559116,-0.311927721,1.1643463492,0,1.0365762977,0.029326722,0.0175216076,0.0261323048,0.3143118785,1.8440533039,4.961919e-11,2.2448422e-08,0.8677597498,0.7530069835,0.047424698,0.039413955,0.01960954156138439,-0.04135128205128202,-0.0037643278672050418,-0.01525987708516241,0.11959306968342998,0.2586971089616843,0.5089043876422557,0.233968933361274,0.19654548150645246,0.2838764698639229,0.3020453456078134,0.5983984120521171,0.5947189573459717,0.6492086087936837,0.5082281488121918,0.44591776831907715,0.4637995774035175,0.32169898873806235,0.5116158059545755,0.44494205539181997,0.6001358016304348,0.8314282715185441,0.6300345328719723,0.8223596905222437,0.5088078278137209,0.526012146030959,0.8338523045780131,0.7967807613090243,0.8244769307144129,0.8708498014297059,0.8756170568561872,1.0051076019409209,1.0371907109496625,1.2468757989125248,1.1471284412032814,0.8849230953905249,1.0981648850881878,1.0578367115149399,1.1260040617384237,1.3362427097798055,1.1073632459515075,1.6150770511824137,1.7239503874176014,1.729316222479722,1.8957461273666092,2.1825427644912847,2.2439056603773584,2.258715965688987
85914,0.1601566903,0.0709403449,4.045213104,0.0246749026,0.5575791416,2.0088869368,0.1514808099,0.2085109681,0.836214247,-0.034658999,0.2623241271,-0.071879826,-0.664503569,0.1180804572,0.0718798259,35,-0.016495858,0.0,0.0177009725,-0.114318732,-0.012389259,0.1612070677,-0.474506831,0.1939384544,0.0523290986,0.5581109615,0,1.0988833747,-0.069232154,0.4569478908,-0.008075844,18.529936306,37.979112272,0.2167964251,0.0,0.0,1,0.0070692194,0,0.0,3.2437991531,3.0,0.0276830763,-0.042744163,0.0816846575,-1.177698251,-0.19772035,-0.258491066,-0.264281644,19398.597246,0.4014297311,17.186467925,0.0040174879,0.0224557776,0.1034939121,0.0725853808,0.274313744,-0.005719076,0.0,0.0040340654,2.3274629172,-0.042137475,7.0,17.695873661,-0.328153372,2.1979122168,0,2.3057588905,0.0314487331,0.0213570073,0.0279828282,0.4445305484,5.9544837942,6.456351e-11,1.1025377e-08,1.2203657107,1.4892924678,-0.007119749,0.0390037462,0.0023362386557641557,0.005770444504553218,0.1200923787528867,0.2782170276154463,0.4284799590216415,0.453799035579304,0.9570175438596491,0.4745538664904163,0.3171566891014288,0.2705011389521641,0.38330853174603163,0.5529722956981762,0.6169010001449486,0.7525530243519245,0.4575983274532862,0.5997418614656531,0.7799585128450612,0.4991264614971107,0.5698001688713763,0.6204241719930272,0.8830182309250505,1.1063066465256797,0.7270475305774886,0.5899372862029646,0.40561995967741926,0.4020864756158873,0.48673863787818195,0.49570930544381864,0.6344322344322344,0.4575983274532862,0.5937991141591656,0.5398950855880729,0.526827265261429,0.6291806630641157,0.871330313705754,0.9926759556984639,0.9583918539325842,1.0558422410615553,0.9120671923208774,0.9457526600383743,0.8782623337262165,1.1530592549700827,1.2695829094608344,1.527758894176297,1.505615453728661,1.614248886805718,1.4409190371991247,1.8668722693395017
49373,0.0221676931,0.0019209234,0.4337743827,0.0639278062,1.5729997305,0.8237004377,0.0751611324,0.5491309704,0.3324237222,-0.046964745,0.8274989505,-0.024442486,-16.69996751,0.0340002816,0.0244424864,46,0.0,-0.06504065,-0.147068983,-0.310484231,-0.123873041,0.2496278464,-0.682389579,0.1568189773,-0.868813559,0.6578900458,0,1.9590661684,-0.092877885,1.9590661684,-0.092877885,0.9152283806,16.327424323,0.0450525577,0.0,0.0,0,0.0,0,0.0,1.8482661068,2.0,-0.101865594,-0.264109827,-9.370149705,-0.251093899,-0.025651904,7.642833978,-0.01543717,-2083.762906,0.260679618,15.320280463,0.022927435,-0.044518829,-0.953496756,0.0049747383,0.1515097818,-0.266202308,0.0,-0.008690614,1.2151308749,-0.101126025,3.0,15.803371201,0.2138699452,2.3033038329,0,0.4299528523,0.050224565,0.0214694518,0.0240584321,0.3200268539,3.6807061967,3.174334e-10,1.0955909e-08,1.0932329116,1.1951581991,0.1113722915,0.0403015575,0.05954573357888293,0.19034482758620697,0.19034482758620697,0.2086834733893559,0.015294117647058902,0.036636636636636855,0.22585227272727293,-0.16497339138848577,-0.2560344827586206,-0.2649063032367972,-0.2920426579163248,-0.30932372949179665,-0.2692633361558001,-0.287365813377374,-0.37667027807872877,-0.41092150170648456,-0.3424761904761904,-0.36567438441749356,-0.27903091060985796,-0.28530020703933734,-0.2683340398473929,-0.31966890027591643,-0.3609774157719363,-0.349660889223813,-0.3297087378640776,-0.36215816703621573,-0.3139904610492845,-0.24231782265144863,-0.3712204007285974,-0.3757685352622061,-0.32073986619441164,-0.3185945519147255,-0.349660889223813,-0.34172387490465284,-0.3407181054239877,-0.30234438156831034,-0.34818731117824764,-0.3545250560957366,-0.4340983606557377,-0.4416046586865092,-0.349660889223813,-0.3037515127067365,-0.2576344086021505,-0.16050583657587536,-0.195712954333644,-0.24923879947803385,-0.22111913357400714,-0.24858511101436642
