firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,turn,IPO,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,chmom,indmom,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48,mom49
54594,0.3774376689,0.0532511214,20.329006463,0.014057012,0.3371952399,0.8718607761,0.1026238312,0.212075324,0.364084546,0.5062642369,0.3340907512,0.1265597388,1.549851646,-0.029280217,0.1265597388,14.0,0.1294749048,0.0994475138,0.165826045,0.1593671809,-0.003793408,0.1219907112,0.0065709181,0.1628092951,0.1205196932,0.5157203665,0.0,2.0297555274,-0.023218447,0.8357748125,-0.150920463,51.372838776,5.176218341,0.229212012,0.0,0.0,1.0,0.0,0.0,0.5963815055,2.0,-0.917418066,-0.069779785,-0.042825699,-0.380422319,-1.13185674,-0.719679834,0.1932427334,253.46687984,0.5574536525,13.053377381,0.0009746844,0.0186766597,0.0379363062,0.0528479439,0.0105152983,0.0093851818,1.0,-0.000152174,0.0266178266,0.0536613278,5.0,12.219574829,0.5291560049,0.0,0.05785124,0.0235113486,0.0251340187,0.7833353252,2.2687672246,1.9808552e-08,3.4278909e-08,1.4106637581,1.9899722383,0.1326439317,0.0385765178,0.2863985115,0.0159368591,-0.0707070707070707,-0.1153846153846154,-0.065989847715736,-0.089108910891089,-0.1711711711711712,-0.0845771144278606,-0.0799999999999999,-0.0366492146596858,0.0952380952380953,0.3142857142857143,0.2266666666666665,0.3834586466165413,0.2517006802721089,-0.3655172413793103,-0.3846153846153846,-0.2977099236641222,-0.2840466926070039,-0.242798353909465,-0.2268907563025209,-0.3134328358208955,-0.2396694214876032,-0.1748878923766815,-0.016042780748663,-0.0212765957446808,-0.0416666666666666,0.0635838150289016,-0.0212765957446808,0.108433734939759,-0.0416666666666666,-0.0264550264550265,0.0222222222222221,-0.016042780748663,0.1288343558282207,-0.1279620853080568,-0.1111111111111111,-0.0416666666666666,0.0222222222222221,0.0952380952380953,0.0165745856353591,0.0514285714285713,0.2105263157894736,0.2266666666666665,0.3731343283582089,0.2266666666666665,0.0952380952380953,0.069767441860465,0.2432432432432432,0.1870967741935483,0.0454545454545454
10154,1.4160028629,0.0563559491,-9.613722517,0.0,1.5953292953,3.1713342788,0.0313907631,0.2559952237,0.333145378,-0.092757597,0.7308389175,-0.005283071,-0.253527752,0.0706437461,0.0052830707,14.0,0.0096349878,0.0867052023,0.103845657,-0.071773213,-0.04750911,0.157971786,0.3264922255,0.1114243701,-0.040556074,0.4998943055,0.0,1.3131234783,-0.347472434,1.1744985241,-0.348130524,18.140561031,2.7959756012,0.1447858963,0.0,0.0,1.0,0.0,0.0,0.5084416984,3.0,-0.7321779,-0.112039812,-0.032440146,-7.322997594,0.0338951852,1.21256699,2.7148837144,-218.8133063,0.0849810308,10.180167131,0.0015427486,0.0045305158,0.0106313734,0.0742331053,0.0553769642,0.0217205536,1.0,0.0033121487,0.464637587,0.0,3.0,9.8534566189,0.5272236677,0.0,0.0491803288,0.0266714167,0.0197311453,1.5802926272,5.3211026244,2.0127151e-06,2.6756494e-08,1.329707334,1.7681215941,-0.074774019,0.0464499019,0.1680815095,0.1067363745,-0.106060606060606,0.0172413793103447,-0.0166666666666667,-0.1917808219178082,-0.2236842105263158,-0.2236842105263158,-0.313953488372093,-0.3586956521739131,-0.2236842105263158,-0.2337662337662337,-0.1571428571428571,-0.1805555555555555,-0.2804878048780488,-0.4732142857142857,-0.4636363636363636,-0.4913793103448276,-0.4732142857142857,-0.4215686274509803,-0.4215686274509803,-0.4636363636363636,-0.4326923076923077,-0.3854166666666666,-0.313953488372093,-0.3295454545454546,-0.3218390804597701,-0.313953488372093,-0.3723404255319149,-0.3295454545454546,-0.4326923076923077,-0.4433962264150943,-0.4433962264150943,-0.4636363636363636,-0.5083333333333333,-0.4587155963302752,-0.5,-0.4326923076923077,-0.4537037037037037,-0.5083333333333333,-0.5083333333333333,-0.7050000000000001,-0.6927083333333333,-0.6989795918367347,-0.6927083333333333,-0.7268518518518519,-0.7268518518518519,-0.7293577981651376,-0.6685393258426966,-0.6793478260869565,-0.6488095238095238
10867,0.5130591971,-0.495333543,-7.703138524,0.0,1.0863624457,4.826649145,0.1118550757,-0.283682653,0.3271922627,0.0141133622,-0.129785161,-0.39871364,-1.609402409,0.3018574547,0.3987136401,8.0,-0.013472013,-0.045454545,0.1874786227,-0.033730825,0.1696421363,0.6158917418,0.8913374683,-0.100768255,-0.4930166,0.5991361286,0.0,1.6222978723,-0.029354456,1.1556595745,0.0417670593,114.45467033,6.6872391653,-0.160079395,0.0,0.0,1.0,0.0,0.0,0.6944476245,5.0,0.3077332654,0.7285002505,-0.150056329,-0.067768016,5.2518965912,0.28412691,0.2921005735,-394.9437648,0.0653410158,10.06404268,-0.0036878,0.0036791503,0.0105399224,-0.312697502,0.0317414215,0.0532100106,1.0,-0.012137938,-0.466625856,0.0085568316,2.0,10.87163517,2.0751173709,0.0,0.075000003,0.0363349534,0.0500307947,0.8875711291,7.1303005709,2.4884447e-07,1.0500175e-08,1.9956694649,3.9826966131,0.0695241501,0.0844362635,0.6354489462,0.0167091915,0.0,-0.2564102564102564,-0.0645161290322581,-0.09375,-0.1470588235294118,-0.0645161290322581,-0.0645161290322581,0.0357142857142858,0.2608695652173913,0.2340425531914893,0.2083333333333332,0.3181818181818181,0.2083333333333332,-0.3255813953488372,-0.3255813953488372,-0.4423076923076923,-0.3829787234042553,-0.3255813953488372,-0.3555555555555555,-0.3255813953488372,-0.3555555555555555,0.0,0.2608695652173913,-0.0645161290322581,0.1153846153846154,0.0,-0.3829787234042553,-0.42,-0.5396825396825398,-0.5606060606060606,-0.6081081081081081,-0.6233766233766234,-0.6704545454545454,-0.5606060606060606,-0.5972222222222222,-0.5972222222222222,-0.5797101449275363,-0.5915492957746479,-0.6375,-0.6777777777777778,-0.6081081081081081,-0.5606060606060606,-0.5538461538461539,-0.5857142857142856,-0.5396825396825398,-0.5396825396825398,-0.4912280701754385,-0.4081632653061224,-0.5166666666666666
12117,1.6113299716,0.0882445635,-1.486854373,0.0,0.6452095808,3.6575795777,0.0682706263,0.0608193199,0.9113267649,-0.003767661,-0.050550725,-0.005535785,-0.1375,0.100378191,0.0055357849,7.0,0.0003954132,-0.088235294,-0.013137755,0.2932091148,0.3435871143,1.1599264706,0.3039773868,0.0298540633,0.1131007457,0.7106885126,0.0,2.9929173281,0.1858651211,2.3820979363,0.2246286404,4.3279880664,5.7947821745,0.4334483169,0.0,0.0,0.0,0.0,0.0,1.3389212431,4.0,-0.046654716,0.1195894742,-0.365763492,1.1090263533,-0.686061435,0.9188331077,-0.376329307,-383.7639839,0.1529638306,9.928070403,0.0076207554,0.0256055363,0.0375582522,0.0643449942,0.3983854756,-0.011737517,1.0,0.005,2.8863181948,0.1403242145,5.0,9.8971173055,0.8327946563,0.0,0.0588235296,0.0242222602,0.0207203391,1.6062003429,3.8846604052,2.3958516e-06,2.9205368e-08,1.1940324828,1.4257135701,-0.144928818,0.0712114271,0.181089735,0.0552558379,0.0434782608695651,-0.0943396226415094,-0.04,-0.1111111111111111,-0.0769230769230768,0.0666666666666666,0.0434782608695651,0.411764705882353,0.5,0.4545454545454546,0.411764705882353,0.8461538461538463,0.7777777777777777,0.2307692307692308,0.1999999999999999,0.1999999999999999,0.3714285714285714,0.6000000000000001,0.2972972972972973,0.3714285714285714,0.263157894736842,0.2972972972972973,0.2972972972972973,0.2307692307692308,0.1162790697674418,-0.0943396226415094,0.3333333333333332,0.1999999999999999,-0.04,-0.1111111111111111,-0.04,0.0212765957446807,0.0,-0.0204081632653061,-0.04,0.0909090909090908,0.1162790697674418,0.263157894736842,0.0909090909090908,-0.0204081632653061,-0.04,-0.04,-0.1428571428571429,-0.1272727272727273,-0.1999999999999999,-0.1724137931034483,-0.1428571428571429,-0.2131147540983606,-0.2131147540983606
12320,0.9493817247,0.0999625288,-128.7929515,0.0337990472,1.0938279535,3.3430972646,0.1027196521,0.0240332248,0.3735425263,-0.007870754,-0.012000774,-0.050894322,-1.028060405,0.2027300466,0.0508943223,14.0,0.0295005739,0.0303030303,0.1814233287,0.1599046762,0.0580453891,0.1456601938,0.1511440778,0.0597047761,0.0689513845,0.5152326274,0.0,1.8727064673,-0.024179321,0.965296137,-0.090762274,687.80176211,6.739661573,0.1957009228,0.0,0.0,0.0,0.0,0.0,0.7729546633,7.0,0.0883833006,0.1576129264,-0.057487348,0.3130202354,-0.553268378,-18.94811537,0.097999466,-1364.982766,0.103229783,11.320983783,0.0010151548,0.0096958531,0.021790748,0.1050099689,0.0113550607,0.017776062,0.0,-0.003333333,-0.018372703,0.0102040814,4.0,11.295962773,0.5742882356,0.0,0.0212765951,0.0192145749,0.0211684552,0.8539600963,1.8306950865,1.5974386e-07,6.1959285e-08,1.4041067286,1.9715157054,0.369762743,0.0454207557,-0.06015078,0.0788183583,-0.0204081632653061,-0.0769230769230768,-0.0769230769230768,-0.1351351351351351,-0.1578947368421053,-0.0204081632653061,0.0434782608695651,0.1428571428571428,0.1428571428571428,0.3714285714285714,0.3714285714285714,0.5,0.3333333333333332,-0.0769230769230768,-0.0943396226415094,-0.0204081632653061,0.0666666666666666,0.0434782608695651,0.0434782608695651,-0.04,0.0,-0.0588235294117647,-0.0204081632653061,-0.0204081632653061,0.0,0.1428571428571428,0.0666666666666666,0.0434782608695651,-0.0588235294117647,-0.0769230769230768,-0.04,-0.04,-0.2131147540983606,-0.1999999999999999,-0.1272727272727273,-0.1111111111111111,-0.04,-0.1578947368421053,-0.2380952380952381,-0.2558139534883721,-0.2835820895522388,-0.1578947368421053,-0.1724137931034483,-0.2258064516129032,-0.3142857142857143,-0.368421052631579,-0.3424657534246575,-0.3513513513513513,-0.4666666666666667
13056,0.9657724719,0.0598642785,-8.731883314,0.0379415928,1.0964820929,2.1062433623,0.0312647307,0.1248382829,0.6270438942,-0.001482931,0.2276665275,0.0503796769,1.6392141595,-0.038266094,0.0503796769,14.0,0.0311463942,0.0,0.0655627229,0.0851871972,-0.049401817,0.0913038254,-0.016599454,0.1204260824,0.0271602443,0.5295170902,0.0,2.7021011141,-0.190781833,1.4451119694,-0.205092542,32.156812832,4.2174799594,0.1217946061,0.0,0.0,1.0,0.0,0.0,1.1601642123,1.0,-0.00216688,-0.011209199,-0.118624778,0.4167592073,-6.431436072,1.5018758522,-0.034708189,106.736521,0.0398564906,13.511822402,-0.005550603,0.0108615287,0.022146115,0.0229903723,0.0066364349,-0.023540374,1.0,-0.006863905,1.8789083379,-0.051008682,4.0,13.326507783,1.0050215692,0.0,0.0190476198,0.010172582,0.0147908502,0.8097795524,6.4727599054,3.2921482e-09,1.6157942e-08,0.9424271429,0.8881689197,0.0067475828,0.036884813,0.2058666367,0.0934492779,0.0368098159509202,0.0764331210191082,0.0628930817610062,0.0628930817610062,0.0119760479041917,0.207142857142857,0.2335766423357663,0.3307086614173229,0.198581560283688,0.3852459016393443,0.5089285714285714,0.4824561403508771,0.2518518518518517,-0.0765027322404371,-0.2587719298245614,-0.242152466367713,-0.1875,-0.1715686274509803,-0.2387387387387387,-0.2777777777777778,-0.2652173913043478,-0.2175925925925925,-0.1952380952380952,-0.2247706422018348,-0.3717472118959107,-0.3016528925619834,-0.3942652329749103,-0.4347826086956522,-0.4815950920245399,-0.4422442244224422,-0.3964285714285714,-0.4172413793103448,-0.4028268551236749,-0.3474903474903474,-0.3524904214559387,-0.2746781115879828,-0.3266932270916335,-0.3320158102766798,-0.3130081300813008,-0.3854545454545455,-0.409090909090909,-0.4049295774647887,-0.400709219858156,-0.3549618320610687,-0.3549618320610687,-0.4049295774647887,-0.3185483870967742,-0.321285140562249,-0.3524904214559387
41734,0.7472863116,0.0994710545,-27.66099504,0.0292417506,1.7282998815,3.3365832452,0.0270703841,-0.023146166,0.2020210671,0.01179941,-0.068877658,0.0067772625,0.1829046506,0.0812773361,0.0067772625,14.0,-0.053399822,0.0748414376,-0.075869227,0.2304372241,-0.087638909,0.1504475888,-0.018914456,-0.14999096,0.0996140171,0.409399662,0.0,1.6820151134,0.0389591095,0.9473299748,0.1596249089,95.423503326,5.971692877,0.0930648382,0.0,0.0,1.0,1.0,0.0,0.7178331717,4.0,-0.34621462,-0.056644821,0.04845404,-11.8274503,-0.959883685,-1.64809572,2.4212848978,-127.5992832,0.0352031689,11.44395045,0.0087303626,0.0229610685,0.0656057161,0.3550488654,0.013179363,-0.076836271,1.0,0.0691697266,1.4059171598,0.0496153841,0.0,10.837448738,0.774749558,0.0,0.0495049506,0.0171031825,0.0208042024,0.9571578127,3.4956516394,6.3819166e-08,3.652829e-08,1.1569686322,1.3385764159,-0.025005136,0.0575153675,-0.150400156,0.1073664273,-0.0206185567010309,0.0795454545454545,0.1046511627906976,0.0106382978723404,0.0,0.3768115942028984,0.3380281690140845,0.532258064516129,0.3013698630136987,0.6964285714285714,0.6379310344827587,0.8269230769230769,0.6964285714285714,0.1875,0.2179487179487178,0.0919540229885058,0.144578313253012,0.3380281690140845,0.484375,0.3970588235294117,0.484375,0.532258064516129,0.5833333333333333,0.3970588235294117,0.4393939393939394,0.5573770491803278,0.7592592592592593,0.6379310344827587,0.4179104477611941,0.3194444444444444,0.2666666666666666,0.1728395061728396,0.1585365853658535,0.2179487179487178,0.3013698630136987,0.3571428571428572,0.2179487179487178,0.1728395061728396,-0.0206185567010309,-0.0776699029126213,0.1585365853658535,0.1875,0.25,0.1585365853658535,0.2337662337662338,0.1875,0.4615384615384614,0.3970588235294117,0.3194444444444444
50091,1.0605221749,0.0967376597,-46.13663234,0.034966675,1.4393104485,2.91556001,0.0373988368,-0.018476601,0.3367595901,-0.180492813,0.1167453637,-0.100104699,-2.611189391,0.3493380105,0.1001046994,14.0,0.0442374817,0.0,0.1798689774,0.2867440009,-0.022498136,0.1125941575,-0.095094918,0.1109225708,-0.157008834,0.4539429975,0.0,2.0680739161,-0.100907444,1.1876759062,-0.221411764,138.68230359,5.1143475998,0.1379565734,0.0,0.0,1.0,0.0,1.0,0.618717416,4.0,-0.083902949,0.1937424157,0.0140642359,4.605829865,-0.147023298,-2.7499014,-3.678589083,-88.55294064,0.0674538361,11.875316044,-0.002635017,0.0128562287,0.0307954326,0.1214091706,0.008409884,0.0672869299,1.0,0.006911551,0.7912457912,0.0194407576,5.0,9.6041545373,0.0723294078,0.0,0.0102389082,0.0043772733,0.0034170223,1.1506095011,0.3280587682,1.9882493e-07,2.8636367749,0.9957344449,0.9914870849,0.138107602,0.031382317,0.3707622797,0.0354124645,-0.0530303030303029,-0.1258741258741258,-0.1197183098591548,-0.1554054054054053,-0.2038216560509553,0.0080645161290322,0.0040160642570281,-0.0118577075098814,-0.0272373540856031,-0.0157480314960629,-0.0234375,0.1160714285714286,0.25,-0.1438356164383561,-0.1496598639455783,-0.1258741258741258,-0.0458015267175572,-0.0875912408759124,-0.070631970260223,-0.0347490347490347,-0.0347490347490347,0.0245901639344261,0.037344398340249,0.0330578512396693,0.0775862068965518,0.1312217194570135,0.1627906976744186,0.2755102040816326,0.1961722488038277,0.0775862068965518,0.146788990825688,-0.4266055045871559,-0.4407158836689038,-0.3386243386243386,-0.3489583333333333,-0.3606138107416879,-0.2857142857142857,-0.2647058823529411,-0.1987179487179486,-0.180327868852459,-0.1007194244604317,-0.1007194244604317,-0.0310077519379845,-0.0234375,-0.0310077519379845,0.0080645161290322,0.0964912280701755,0.1574074074074074,0.146788990825688
14526,0.4694179991,0.0756610982,9.2468543046,0.0117709517,0.4652685269,2.0327267634,0.1382317555,0.2397570374,0.5524201213,-0.000972908,0.3431558757,-0.025175041,-0.280929832,0.0969165578,0.025175041,14.0,0.04284309,0.2152682256,0.1180736446,-0.131421884,0.096539095,0.1382800034,0.2564709409,0.1565605074,0.151867777,0.5800710657,0.0,1.7508802638,-0.040543269,1.2793845277,-0.055058923,103.3281457,5.3047343816,0.2921461935,0.0,0.0,0.0,0.0,0.0,1.0009111108,5.0,0.432786575,-0.128029777,0.1841688132,-0.253596021,-0.890516849,0.5111994355,0.0556601825,-22.741188,0.0377577138,12.237020652,0.0012921263,0.0241120243,0.0526893667,0.2343840052,0.0206805153,0.009140166,2.0,0.0,0.2601294449,0.042013023,6.0,11.160756426,0.4731062582,0.0,0.0583333336,0.0168912028,0.0186577171,0.8818633213,2.3355966812,3.3130448e-08,3.7079078e-08,1.4853626993,2.2063023486,0.1486525544,0.0496259939,0.3715243082,0.1235011098,0.0113636363636364,-0.021978021978022,-0.0326086956521739,-0.1523809523809524,-0.1759259259259259,-0.1274509803921568,-0.1188118811881188,-0.011111111111111,-0.0326086956521739,0.072289156626506,0.1125,0.289855072463768,0.2361111111111111,-0.0531914893617021,-0.021978021978022,0.0470588235294118,0.0987654320987654,0.1558441558441559,0.2191780821917808,0.1710526315789473,0.072289156626506,0.1410256410256409,0.3088235294117647,0.3692307692307692,0.3484848484848484,0.1866666666666667,-0.4144736842105263,-0.3407407407407408,-0.44375,-0.4105960264900662,-0.3904109589041096,-0.3819444444444444,-0.1981981981981981,-0.2192982456140351,-0.1274509803921568,-0.0918367346938775,0.1125,0.1410256410256409,0.072289156626506,0.0853658536585366,0.1410256410256409,0.1558441558441559,0.3088235294117647,0.2361111111111111,0.0853658536585366,0.072289156626506,0.2535211267605635,0.390625,0.2535211267605635
15991,0.0301861479,-0.035020191,77.921320922,0.0024809074,0.0150025688,0.0805389851,-1.214056483,-0.352487588,0.5193831203,0.0005033557,0.1059654631,0.0551388087,0.1307388264,-0.039598689,0.0551388087,6.0,0.0352631916,0.3723404255,0.7448673587,0.0810136316,-0.098182831,0.366058906,-0.224516325,0.0516531108,-0.552768575,0.552104894,0.0,3.5741737125,-0.452436941,2.664104535,-0.54022413,6.7056737589,6.3939137785,-2.062616474,0.0,0.0,0.0,0.0,0.0,0.7734658463,1.0,-0.304492846,0.2957880142,0.2784301268,-0.415989281,0.4683677602,-0.87890473,0.0002238168,-835.1415426,0.0319011585,12.195150718,0.0,-0.083800623,-0.101682102,0.0095083704,0.1840130506,0.1398649088,2.0,0.0156840197,0.3380287091,-0.01346922,2.0,11.772017072,0.9716882975,0.0,0.0769230798,0.0451175256,0.053665475,0.6566997328,5.455891659,2.3644461e-08,1.055274e-08,2.1725475623,4.7199629106,0.169929051,0.0980945217,1.454614766,0.1038922063,0.1886792452830188,-0.0597014925373133,-0.0869565217391304,-0.0735294117647058,0.3404255319148936,0.5365853658536586,0.575,0.5949367088607596,0.1454545454545455,0.125,0.05,0.6578947368421053,-0.0597014925373133,-0.5467625899280575,-0.5531914893617021,-0.4324324324324324,-0.3823529411764705,-0.4166666666666666,-0.3076923076923077,-0.2125,-0.34375,-0.2409638554216867,-0.2317073170731707,-0.2125,-0.4324324324324324,-0.4298642533936652,-0.4836065573770491,-0.3225806451612903,-0.284090909090909,-0.3636363636363636,-0.3823529411764705,-0.1428571428571429,0.2352941176470588,0.0862068965517242,0.2115384615384614,0.726027397260274,0.5365853658536586,0.9090909090909092,1.1724137931034484,1.7391304347826089,1.3333333333333337,2.9375,1.7391304347826089,1.25,0.9090909090909092,0.6363636363636365,0.575,0.6153846153846154,0.2352941176470588
