firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,secured,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,chmom,turn,IPO,indmom,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,mom26,mom27,mom28,mom29,mom30,mom31,mom32,mom33,mom34,mom35,mom36,mom37,mom38,mom39,mom40,mom41,mom42,mom43,mom44,mom45,mom46,mom47,mom48
54594,0.7721231131,0.0801502404,-5.157850781,0.0255621922,0.6010163547,1.9345799292,0.1096476064,0.1324583904,0.3912248229,0.004827701,0.21154908,0.1384532845,2.2332708632,-0.098846956,0.1384532845,11,0.0462558905,0.0769784173,0.2316805616,0.0116868115,0.0158099114,0.1311437359,0.0298073335,0.0801439939,0.0776962447,0.519268936,0,2.2514888474,-0.106884604,1.1849686848,-0.143219226,43.745454545,5.0982885086,0.218921901,0.0,0.0,1,0.4130977764,0,0.0,0.636282913,4.0,-0.639038468,-0.043546856,-0.022242688,-0.145235729,-0.125490207,0.4331077948,0.0947628235,35.169610054,0.4894653679,12.264284359,0.0086237473,0.0157137801,0.0279452995,0.0081378643,0.0211002654,0.0190203083,0.0,0.001184487,-0.661500816,-0.068954773,5.0,11.61914636,0.5538586427,0.798654758,0,0.1359461483,0.073863633,0.0316416174,0.0352027254,0.8339887676,5.0759095267,1.9367849e-08,1.6922663e-08,1.045700767,1.0934900941,-0.102164931,0.0400604395,0.03428571428571425,0.19078947368421062,0.20666666666666678,0.35074626865671643,0.20666666666666678,0.07738095238095233,0.05232558139534893,0.22297297297297303,0.16774193548387095,0.02840909090909083,-0.010928961748633892,0.0,0.09036144578313254,0.11042944785276076,0.16025641025641035,0.15286624203821653,0.1312500000000001,0.19867549668874163,0.26573426573426584,0.3115942028985508,0.6160714285714286,0.6017699115044248,0.5083333333333333,0.5338983050847457,0.5210084033613445,0.48360655737704916,0.5338983050847457,0.8854166666666667,1.1294117647058823,1.445945945945946,1.445945945945946,1.4133333333333336,1.6231884057971016,1.828125,2.175438596491228,2.4150943396226414,2.549019607843137,2.290909090909091,2.232142857142857,2.232142857142857,2.232142857142857,1.873015873015873,2.1206896551724137,1.9672131147540983,1.9193548387096775,2.1206896551724137,2.1206896551724137,1.7424242424242422
10154,0.6093152349,0.0886623051,0.1075775647,0.0036169012,0.4309417234,1.0100678895,0.0003578896,0.6346430737,0.3938693543,0.4963468095,0.2348511021,0.1209057505,1.143187381,-0.012695323,0.1209057505,11,0.0082118691,-0.069044006,0.3048062547,0.1327453684,-0.170414374,0.1149386316,-0.018202652,0.0869771143,2.096257716,0.6904929129,0,2.2549747172,-0.049647999,2.0978209466,-0.016540333,2.5239199855,3.713443553,0.2797650332,0.0,0.0,0,,0,0.0,2.3059515728,2.0,-0.481105005,-0.065575929,-0.746154879,0.1218483954,106.08461906,,-1.13644687,-111.1029611,0.0651922914,10.958147954,-0.004512749,0.0029974958,0.0045411868,0.114619883,0.186002756,0.0255316966,0.0,-0.017096239,0.7354727678,0.0534957647,4.0,10.530094209,0.0833333355,0.7611749681,0,0.163137119,0.0545454547,0.0252407247,0.0418132951,1.3924484035,6.4587356004,4.0604057e-07,3.1520325e-08,1.1924097369,1.4218409805,0.1732366946,0.0460918227,-0.4,-0.375,-0.3877551020408163,-0.375,-0.4444444444444444,-0.4444444444444444,-0.4495412844036697,-0.3258426966292135,-0.34782608695652173,-0.2857142857142857,-0.33333333333333337,-0.3650793650793651,-0.48275862068965514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10867,0.4588059972,0.1043568683,1.6380005772,0.0,0.3948133605,1.3276397427,0.2583295299,0.4532396688,0.5281582355,0.2404918502,0.0388814752,0.00988626,0.0682571239,0.0972337686,0.00988626,5,-0.077266401,0.0388489209,0.3677123655,0.3663337467,0.1670122325,0.1463574423,0.1019380703,0.2131392018,1.2126737076,0.657778747,0,2.2965918158,0.5297193515,1.894106919,1.1057473117,6.7383877384,7.208135169,0.4022848303,0.0,0.0,1,1.1894117647,0,0.0,1.35241801,5.0,-0.065760665,-0.181801274,0.0579703369,-0.085321599,1.7140833447,1.2498456186,0.0822724145,-222.1047114,0.0510165814,10.640454231,0.0125976218,0.0402267742,0.0764814213,0.0448593916,0.2308128544,-0.145715051,3.0,0.0092669452,-0.137120825,0.0266666673,5.0,12.001560693,0.0702213279,2.5380009212,0,0.0561326721,0.0439560451,0.0241997647,0.0369166094,1.1141160922,8.0402810457,7.5344192e-08,1.0888075e-08,2.1492537013,4.6192914724,0.0498101757,0.0660771007,-0.11111111111111116,0.08108108108108114,0.21212121212121215,0.23076923076923084,0.1428571428571428,0.26984126984126977,0.26984126984126977,0.4035087719298245,0.6326530612244898,0.33333333333333326,0.33333333333333326,0.25,0.21212121212121215,0.1428571428571428,0.33333333333333326,0.26984126984126977,0.1428571428571428,0.4545454545454546,0.3793103448275863,0.4035087719298245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11010,0.4430955288,0.0593057736,0.0357043041,0.0,0.6637130066,1.3933368219,0.0829994559,0.2302102659,0.421665636,0.0023252968,0.2729949148,0.0821721548,1.3945098039,-0.023396709,0.0821721548,10,0.1199306759,0.0416666667,0.0967304946,0.2823232176,-0.062212857,0.1116100064,-0.509613534,0.2437641723,0.1624161074,0.635304805,0,1.8852626685,-0.086410349,0.8738261274,-0.204956163,8.3719955282,5.3963249865,0.1274040349,0.0,1.0,0,,1,0.0,0.8995729103,2.0,-0.650118005,-0.168776654,-0.057554439,-0.474263314,4.7927251266,-0.847163604,0.1702130706,-56.50659679,0.4894653679,9.7973281067,-0.001627219,0.0006604747,0.0016780283,-0.004010025,0.1397641043,-0.021211986,1.0,-0.01598869,0.0774227927,0.0625,3.0,9.2456471858,0.1794117801,0.5180815698,0,0.1359461483,0.1176470593,0.0534552569,0.0628874892,1.0381787021,1.9316531858,2.2612482e-06,5.0733759e-08,1.8470638205,3.4116447571,0.0387748734,0.0789373587,-0.050000000000000044,0.0,0.11764705882352944,-0.050000000000000044,-0.050000000000000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11790,0.2545873675,0.0692023974,5.9092212496,0.0133702167,0.0298386353,0.1455232826,0.075139252,0.2465548596,0.3062436856,-0.007170436,0.3006430868,-0.021082549,-0.078081279,0.0746058091,0.0210825493,11,0.0004317246,0.125,0.3355335534,1.0685844008,0.3047261869,0.0566100345,-0.09438115,0.1181652859,0.240508604,0.7058238994,0,10.487603306,0.7370356642,10.41472577,0.7398370366,1.1909145789,27.834215168,1.5907128466,0.0,0.0,1,1.0,0,0.0,0.3380060206,5.0,-0.270143832,0.0777871927,0.0022156682,-0.466941405,0.1033151473,0.494612191,61.23607633,-109.2348566,0.3346488105,12.003062549,-0.037017579,0.058082228,0.0675228793,-0.002425081,0.4240844354,-0.034851987,1.0,-0.013268787,-0.60146401,-0.022251215,5.0,10.180740429,-0.010147582,0.1244890375,0,0.512005457,0.0459770113,0.0243762206,0.0167243686,1.3308448608,1.1097429258,7.6214655e-07,1.6252692e-07,0.1668783419,0.027848381,1.0594942744,0.0370760414,0.0387931034482758,-0.05859375,0.004166666666666652,0.12616822429906538,0.28191489361702127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117,1.2376272966,0.0885669291,-3.373290901,0.0,0.3632965879,2.1726824147,0.0645808737,0.1273028359,0.7619244759,0.005064894,0.4308633807,0.1490707405,2.542437174,-0.136608924,0.1490707405,4,0.0694199252,0.1375,-0.005153351,-0.271297052,-0.049305365,0.4279363594,-0.021762635,0.1551882189,0.0612149364,0.6037887309,0,3.7277771356,-0.257246951,1.9260201133,-0.324848335,12.196369637,4.6455059711,0.5358916786,0.0,0.0,0,,0,0.0,0.9263980411,1.0,-0.083725503,-0.549449915,-0.127940317,0.7841849586,-0.311826359,0.2012179252,61.044831209,-329.1644575,0.207869402,9.836913628,-0.033886722,-0.01634621,-0.01909144,-0.044495347,0.0853572686,-0.00333736,1.0,-0.083722262,-0.324474741,-0.074390244,5.0,9.7741758161,0.545933031,0.9131344846,0,0.1431173512,0.0434782617,0.0233312695,0.0337352239,0.8483243806,6.3955248308,3.8769814e-07,1.9833998e-08,2.0011194913,4.0044792184,-0.167232882,0.0710024407,-0.10204081632653061,-0.12,-0.12,-0.2142857142857143,-0.19999999999999996,-0.2666666666666667,-0.24137931034482762,-0.2142857142857143,-0.2786885245901639,-0.2786885245901639,-0.24137931034482762,-0.46341463414634143,-0.3972602739726028,-0.5,-0.5510204081632653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12320,0.8391906283,0.0803769147,-7.601930759,0.0261483365,0.590506135,2.3050140184,0.1264505664,0.0541726316,0.3002072605,-0.007998793,0.0551825321,0.0494431577,0.8568681649,0.0115044953,0.0494431577,11,0.0143891378,-0.147058824,-0.113836898,0.0074562051,0.0071481904,0.1127824165,-0.097988405,0.1156884112,0.0534631615,0.5296823842,0,1.9564563713,-0.011790478,1.02700556,-0.059172726,63.548868176,7.8035906995,0.2631963516,0.0,0.0,1,0.3960097873,0,0.0,0.4812775865,2.0,0.0121388068,-0.201912741,-0.284451071,-249.4187068,0.7318539808,-1.039779124,0.1638857705,-864.0128158,0.097938351,11.318733736,0.0017805887,0.0100664344,0.017256545,-0.009089614,0.0253700788,0.0231727305,0.0,-0.015238095,6.1985824907,-0.148109246,2.0,11.148999294,-0.040149721,0.7395770087,0,0.2211591978,0.0599999987,0.0383675113,0.046468359,1.4712269173,2.4239805681,4.9986838e-07,5.4499919e-08,0.7348981244,0.5400752533,-0.706654299,0.0329854565,-0.023255813953488413,-0.05970149253731338,0.10526315789473695,0.0862068965517242,0.016129032258064502,-0.09999999999999998,-0.17105263157894735,-0.136986301369863,-0.14864864864864868,-0.30000000000000004,-0.38834951456310685,-0.3942307692307693,-0.32978723404255317,-0.32978723404255317,-0.32258064516129037,-0.3152173913043478,-0.32258064516129037,-0.28409090909090906,-0.6440677966101696,-0.6379310344827587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13040,1.3421235015,0.1381530337,-52.69228723,0.0292801952,1.2879161917,4.2919542468,0.0750434767,0.1692436187,0.4784371244,0.0,0.2675656174,0.1575606183,2.7824212272,-0.2462469,0.1575606183,10,0.0474616381,0.0518575851,0.1553291478,-0.070049286,-0.05805761,0.0932137082,-0.034588048,0.1175008658,0.0882407579,0.5747441852,0,2.5122741691,-0.231310821,1.4788994621,-0.215629612,199.2893617,4.7616287937,0.1910065432,0.0,0.0,1,0.2735011103,0,0.0,0.8190971577,3.0,-0.003473261,0.0028756027,-0.054144823,0.2309195631,-1.326072366,-0.161474041,-0.04293695,-88.88976476,0.0808590827,10.3724594,0.0039251514,0.0149275177,0.0308611414,0.232124921,0.0133390047,-0.008021968,2.0,0.0119159027,-0.742416137,0.0001543211,2.0,8.9818230327,0.4809036529,0.484072116,0,0.2518615991,0.0606060624,0.0354312833,0.0378608445,1.1797233198,3.8004877844,2.4548733e-07,2.2536807e-08,0.9248851615,0.8554125619,-0.564889618,0.0499282443,-0.12631578947368416,-0.07777777777777772,-0.17821782178217827,-0.11702127659574468,-0.11702127659574468,-0.13541666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13056,0.4077644657,0.0712238331,6.1643046577,0.0163911071,0.3085414726,0.8805369012,0.144798352,0.1350793906,0.8220077888,0.0131566403,0.0979931697,0.1014479052,0.9595643112,0.0028799848,0.1014479052,11,0.0489482802,0.0811965812,0.1248481334,-0.057192222,0.0098040335,0.0839229832,0.1035166029,0.1032457421,0.1648499573,0.5718149197,0,3.0414393485,0.045868016,1.7164614368,0.0326958068,13.85366846,5.2947874013,0.3027031242,0.0,0.0,1,0.2087246182,0,0.0,1.4393043973,5.0,-0.133627211,0.0273775573,0.0430377711,-0.300238269,-0.751561727,0.0596193957,0.0693347217,747.41996258,0.0415193682,13.872466104,0.000951482,0.0097408618,0.0166907624,0.0118465813,0.0157788416,0.0035257998,0.0,-0.000487805,0.6095670755,0.0433907527,4.0,13.97748452,0.1839504304,1.1056969033,0,0.2878774838,0.0288808662,0.0139942977,0.0167196421,0.4573194162,1.8555643211,2.468062e-09,2.362607e-08,1.1508622117,1.3244838304,0.0912606113,0.0397762003,-0.10545454545454547,-0.1398601398601399,-0.1338028169014085,-0.12765957446808507,-0.06106870229007633,-0.06106870229007633,-0.1338028169014085,-0.008064516129032251,-0.012048192771084376,-0.05747126436781613,0.0,-0.019920318725099584,0.11818181818181817,0.07423580786026207,0.22999999999999998,0.1941747572815533,0.3085106382978724,0.287958115183246,0.2551020408163265,0.1603773584905661,0.07423580786026207,0.19999999999999996,0.13364055299539168,0.16587677725118488,0.16587677725118488,0.22999999999999998,0.3591160220994476,0.2947368421052632,0.4642857142857142,0.6734693877551021,-0.14583333333333337,-0.1854304635761589,-0.2360248447204969,-0.16891891891891897,-0.03529411764705881,,,,,,,,,,,,,
41734,2.0118920524,-0.416349358,-29.23366113,0.0028735914,3.1448432544,6.218678554,-0.043126292,-0.12220964,0.1497235882,0.0030625403,-0.124958575,-0.089079209,-1.193933615,0.080744136,0.0890792088,10,-0.069226613,-0.009147162,0.0419484506,0.2679290551,0.2879662242,0.1225595471,0.0625037724,-0.085312323,-0.120095911,0.5348024097,0,2.0545428754,0.0233466818,0.6348086153,-0.020841854,68.047165908,7.0812882115,-0.067212604,0.0,0.0,0,,1,1.0,0.2830625491,4.0,0.0363962759,0.1105968917,-0.068293969,0.9685725046,-2.856679873,-0.094341847,-0.052496335,-62.52990614,0.0261787142,11.05774148,0.0,0.0016801797,0.0047317401,,0.004398487,-0.030165751,3.0,,-0.525002984,0.025807526,0.0,9.6444901139,0.0121951174,0.668688481,0,0.0738213172,0.1285714358,0.0398492272,0.0412852065,0.7471341367,5.3667479041,8.2703698e-08,1.7317017e-08,1.1445761737,1.3100546175,0.1885603547,0.0411534448,-0.058252427184465994,0.18292682926829262,0.2124999999999999,0.2763157894736843,0.18292682926829262,0.2597402597402598,0.2124999999999999,0.49230769230769234,0.42647058823529416,0.3472222222222223,0.2933333333333332,0.18292682926829262,0.3287671232876712,0.2124999999999999,0.05434782608695654,-0.06730769230769229,-0.058252427184465994,0.01041666666666674,-0.1339285714285714,-0.07619047619047614,-0.09345794392523366,-0.11818181818181817,-0.21138211382113825,-0.1637931034482759,-0.1339285714285714,-0.23015873015873012,-0.1637931034482759,-0.08490566037735847,-0.06730769230769229,-0.09345794392523366,-0.07619047619047614,0.043010752688172005,-0.1637931034482759,-0.10185185185185186,-0.07619047619047614,0.021052631578947434,0.3472222222222223,0.0898876404494382,-0.12612612612612617,-0.07619047619047614,-0.11818181818181817,-0.1709401709401709,-0.24806201550387597,-0.24806201550387597,-0.25384615384615383,-0.2421875,-0.20491803278688525,-0.28148148148148144
