firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chpmia,chtx,cinvest,convind,depr,egr,ep,grltnoa,herf,hire,invest,lev,lgr,ms,mve_ia,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAJS-L,18.0,0.2962824011327534,7.996081888227748e-07,0.0917781060464439,0.0904961130315881,0.0785055512812908,0.9954323705495364,1114.5177,0.045213938395447,5.933434848798234e-05,0.0019790465719149,0.120107090264231,1.0,0.0572535213396223,0.2534626415017965,1.1764382073265005e-07,0.1092437388993802,0.0001728943176544,0.1522996853987561,0.0575998012424608,2.5368759892514323e-06,0.3104379960307393,5.0,19.514048075908583,-0.1240418849491906,0.0119319569475163,-0.0497780644017575,0.0568492534082064,0.0105429538502907,0.0442072695333466,0.1879357925825092,0.6283743105419438,-0.0242955964231483,-0.0053700285282766,-0.0075351640991292,-0.0198445510170331,0.1311068702290077,0.0229547808077321,0.0815693430656936,0.1242412746585737,0.1513209013209013,0.2907229965156794,0.2686215753424659,0.2342773844231569,0.1250949126803342,0.1743610065385379,0.226614238410596,0.037640056022409,-0.0042002688172042,0.0401895401895402,0.2147981143676984,0.154460459680561,0.0295292687163453,-0.0003373250126496,-0.0351619729773725,-0.0712942651206517,-0.0944232238349885,-0.0614410134600157,-0.0259654889071486,0.1055773176646148,0.104547148714126,0.2317123857024108,0.2583864118895966,0.2162938641493947,0.221558120362737,0.0768531976744186,0.0527531083481351,0.0843395536040982,0.0256099671223395,0.0963743988161303,0.1799721282102331,0.1295978654469221,0.1694948697711129,0.1585222830336201,0.2233230134158925,0.3150654537386288,0.2787486515641855,0.4795307039440839,0.4148961566006206,0.6630190796857465,0.6560491757474156
BAOH-L,3.0,0.2851757284258882,1.086401878652158e-06,0.1246959551212061,0.0735895916075525,0.292721846827175,0.7946085732597302,-16.7484,0.0536937744957668,-0.0125489780171064,0.0005124903011078,0.3150977692632478,1.0,0.149346933785452,0.3769343440952372,5.7667521928233423e-08,0.0535698874887257,4.997215568885201e-08,0.1808633632411132,0.4854124732344249,1.1140666980357087e-06,0.2060347873857983,3.0,0.7203541082173072,0.0559826073810499,0.201024240951865,-0.0291487497890748,-0.7876892388601678,0.0041894164067253,0.0086529822696424,0.2880761949235543,1.6680045939018189,-0.024561403508772,-0.0069686411149826,0.0035211267605634,0.0035211267605634,0.021505376344086,-0.0436241610738254,-0.0034965034965034,0.0401459854014598,0.017857142857143,0.032608695652174,-0.0499999999999999,0.032608695652174,0.0035211267605634,0.021505376344086,0.4921465968586389,0.5079365079365081,0.5833333333333333,0.6101694915254237,-0.0104166666666666,-0.0138408304498269,0.0106382978723404,-0.0104166666666666,-0.0371621621621621,-0.0531561461794019,-0.0404040404040404,-0.0865384615384615,-0.217032967032967,0.0,0.2337662337662338,0.383495145631068,0.1875,0.3073394495412844,0.3013698630136987,0.2231759656652361,0.2127659574468086,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088,0.2391304347826088
BBIO-L^E18,28.0,0.1936343055000665,3.4500395697103654e-07,0.0395991564267841,0.070096463022508,0.0996458467482292,1.5807525084795375,131.0,-0.0324974712446617,-1.525571028763312e-05,0.0065545959284392,0.038203676298203,1.0,0.1411985018726591,0.1417069243156199,3.925291847061159e-08,-0.0471102476930323,7.860713292766457e-07,-0.1094652406417111,0.1935011319749633,1.103136770738138e-06,0.2094967099413124,5.0,1.944553054604362,0.0151526278426475,0.0188515675304009,-0.0030520302543536,-0.0029242767798462,0.0237085797166127,0.0999059708509638,0.2200248928225694,0.2803821790494458,-0.0110192837465564,-0.0215633423180593,0.0461095100864552,0.0933734939759036,0.1862745098039215,0.1523809523809522,0.1203703703703702,0.1134969325153374,0.2560553633217992,0.3152173913043479,0.3152173913043479,0.3010752688172042,0.2692307692307691,0.2872340425531916,0.3057553956834533,0.1785714285714286,0.2059800664451827,0.2431506849315068,0.3444444444444443,0.2964285714285715,0.1487341772151897,0.0676470588235294,-0.0108991825613079,0.0401146131805156,0.0111420612813371,0.0,-0.0241935483870968,0.0552325581395347,0.0552325581395347,0.1487341772151897,0.1634615384615383,0.0254237288135592,0.0552325581395347,-0.0162601626016259,-0.0739795918367347,-0.0620155038759689,-0.0925,-0.0763358778625954,-0.0763358778625954,-0.0268096514745308,-0.0345744680851063,-0.0189189189189189,0.0371428571428571,0.0803571428571428,0.028328611898017,0.1901639344262295,0.2181208053691274,0.3104693140794223,0.375
BBOU-L,28.0,0.1041311424585335,1.508761618328257e-07,0.0173173919103554,0.0421173044925124,0.1486560142287501,0.4630805076239874,39.0,-0.0084640783022987,0.000502360897364,0.0020539451247868,0.0278847063407179,1.0,0.0894099458902344,0.0976708274353365,3.9691220064813696e-08,0.0049359977898517,1.1103623287836388e-06,-0.0285105989077108,0.0144551232367074,3.238796482205007e-07,0.1065385545080976,3.0,17.83219426849938,-0.110720484272331,0.0276061713808454,-0.0314269925053775,0.0119622151136751,0.0189877605028117,0.060586869326578,-0.0303338573938777,0.3124520361302648,-0.0144800351031153,-0.0004385964912281,0.0415904936014626,0.0800947867298578,0.1592065106815869,0.0550925925925924,0.0151447661469932,0.0935700575815738,0.0575406032482597,0.0816326530612243,0.2226394849785407,0.2345612134344528,0.2083775185577943,0.2115895800106326,0.1931937172774867,0.2272482498653742,0.1919456066945606,0.2193686463349382,0.2904869762174404,0.3477232406859845,0.2682248191430161,0.2161152614727854,0.2535753575357535,0.2556473829201102,0.2200214132762312,0.1888367240479915,0.1687179487179486,0.2332251082251082,0.1615698267074412,0.2563395810363835,0.2948863636363634,0.2839436619718309,0.2817772778402698,0.1982124079915876,0.1950707918196119,0.2487671232876711,0.2305615550755939,0.2372421281216068,0.2717633928571428,0.1394999999999999,0.1832814122533748,0.1510101010101008,0.1645375574859477,0.1429287863590771,0.0972556571978815,0.1783867631851086,0.1747422680412371,0.1562658548959918,0.098313253012048
BBTU-L^C18,28.0,1.969018029056538,5.72185919338324e-07,0.0656748401496848,0.0164009250243427,-0.0736957590890175,0.4083724496199611,30.4,0.2443109829590177,0.0113629590582566,0.0061689481268011,0.0952304565506367,1.0,0.4682435392028033,2.144390885188431,-8.14560541570759e-08,0.8772657111355695,2.2965342770420485e-08,0.8229428172942816,0.0692280763171713,7.803513910730736e-07,1.852645386969829,3.0,0.7910817785577328,0.0762341811909393,4.076098540356326,1.1558413051851777,-5.984704047367202,0.0028593326258695,0.0067591108633544,0.2571071279699876,1.413593486040956,0.0076923076923076,0.0655737704918033,0.056910569105691,0.1206896551724139,0.0483870967741935,-0.0510948905109489,-0.084507042253521,-0.1612903225806451,-0.0510948905109489,0.1304347826086958,-0.0441176470588235,0.1111111111111111,0.1111111111111111,-0.037037037037037,0.0236220472440944,0.0833333333333334,0.1111111111111111,0.2380952380952381,0.3402061855670104,0.3265306122448981,0.1711711711711712,-0.0151515151515151,0.092436974789916,0.2745098039215685,0.25,0.1111111111111111,0.1206896551724139,0.1818181818181816,0.1607142857142856,0.1016949152542374,0.0317460317460318,-0.0298507462686566,-0.0076335877862595,-0.0647482014388488,-0.1558441558441557,-0.1558441558441557,-0.0441176470588235,-0.1925465838509317,-0.1333333333333333,-0.2737430167597765,-0.2528735632183908,-0.319371727748691,-0.2261904761904761,-0.3121693121693121,-0.400921658986175,-0.3627450980392157,-0.3627450980392157,-0.3157894736842105,-0.4247787610619468
BBXK-L,29.0,-0.0216955311217025,5.293361901033137e-07,0.0607565976294549,0.0583418751884232,0.127979086200627,1.784101519785161,-79.0,0.0191682882273574,0.00223819983932,-0.0007930601139566,-0.0229909382996325,1.0,0.1103807515812972,-0.0838557993730406,1.9638585641763464e-08,-0.1126847914889536,1.1395685201685037e-06,0.0645669094589024,0.0321480817328112,8.623703776986501e-07,0.0216769322471687,4.0,1.880715358620672,0.0131368929602694,-0.0172128573197476,0.0580660362259931,-0.0135168380837295,0.0060697843469832,0.0160355919726018,0.0063095666672982,0.732750850578019,0.089020771513353,-0.0029585798816567,-0.0058997050147492,-0.0371428571428571,0.0337423312883435,-0.0146198830409356,0.0337423312883435,-0.0260115606936415,0.0531249999999998,0.0531249999999998,-0.0916442048517519,-0.205188679245283,-0.1719901719901719,-0.2180974477958235,-0.2070588235294117,-0.2544247787610618,-0.3366141732283464,-0.3519230769230769,-0.3273453093812375,-0.33399209486166,-0.3805147058823529,-0.381651376146789,-0.4209621993127148,-0.3850364963503649,-0.3641509433962263,-0.3392156862745097,-0.2949790794979079,-0.2964509394572024,-0.3122448979591837,-0.1658415841584158,-0.1553884711779448,-0.2358276643990929,-0.2126168224299065,-0.2107728337236533,-0.251111111111111,-0.240990990990991,-0.267391304347826,-0.3259999999999999,-0.2799145299145298,-0.2217090069284064,-0.2979166666666666,-0.3191919191919192,-0.3273453093812375,-0.3008298755186722,-0.3051546391752576,-0.2375565610859727,-0.278372591006424,-0.1840193704600483,-0.1358974358974358
BCIP-L,18.0,0.1457446315027689,5.460760003309765e-06,0.6267797374809332,0.0784497307310387,0.1345426661236176,0.4332540155991671,-134.90359999999998,0.0228383580461033,-0.0103434680283494,0.0008328614627823,0.071990091962824,1.0,0.2622860617083066,0.3951680165329152,4.534539573511563e-07,0.0624126161285012,2.6641994952557627e-06,0.0769292582969491,0.2405557294013931,1.207485355077463e-05,0.0887365587191828,5.0,1.0456764052469818,-0.0569753563509602,0.0421619438946073,-0.1136951671671039,0.0745800172873533,0.002844395519879,0.0094485918539638,0.1178111390737396,0.7063953722898493,-0.0517241379310343,0.0545454545454544,0.0545454545454544,-0.0169491525423729,0.183673469387755,-0.0169491525423729,0.0943396226415094,0.0545454545454544,0.0943396226415094,0.183673469387755,0.0740740740740739,0.0545454545454544,-0.0169491525423729,0.0357142857142855,-0.0491803278688525,-0.1714285714285714,-0.2368421052631579,-0.1944444444444444,-0.1076923076923077,-0.0937500000000001,-0.1470588235294119,-0.1212121212121213,-0.1076923076923077,-0.0937500000000001,-0.0793650793650794,-0.0937500000000001,-0.0491803278688525,0.0740740740740739,0.0545454545454544,0.0545454545454544,0.0545454545454544,0.0545454545454544,0.0545454545454544,0.0,0.0,-0.0169491525423729,0.0175438596491228,0.1372549019607842,0.1599999999999999,0.2083333333333332,0.2608695652173911,0.2083333333333332,0.4146341463414633,0.6111111111111112,0.657142857142857,0.5675675675675675,0.4499999999999997,0.2888888888888887,0.4146341463414633
BCQF-L,28.0,0.2267595539603774,3.133782976426129e-07,0.0359691997102251,0.0849154271650074,0.0958357230897747,1.0443061411333658,117.44260000000008,0.0547709836626973,0.0002728646183751,0.0023741647238985,0.0061144152730332,1.0,0.2565022393535844,0.1654091105578637,4.820077168171569e-08,0.0014634795955346,4.797543376312916e-05,0.1844918597414023,0.074494883637262,8.326678751759837e-07,0.2515828060023505,5.0,29.796530730291465,0.0976564378366667,0.043242939504325,0.0004933171975714,0.0354678216254021,0.0110641128814083,0.0361697606359247,0.2365988191726422,0.539432870956146,0.0163694558756288,0.0194853626701472,0.0514423076923076,0.109251369446135,0.2283756459222645,0.1834415584415583,0.2102933038184837,0.2213783089467216,0.3371239911958914,0.4144353899883584,0.4537357085881415,0.5202279994439036,0.5086920529801322,0.6159302497413919,0.6518126888217521,0.652311876699909,0.6029023746701847,0.6585772789322006,0.8669967560184393,0.7269425142135186,0.5765570934256055,0.6761189454322503,0.5882352941176472,0.5168539325842696,0.4918144611186903,0.5214971476276609,0.5293706293706293,0.6003219669252158,0.5688665710186511,0.5933265335858955,0.5076520060664551,0.4514202282983806,0.5274479675932391,0.4199454616283598,0.3759909399773498,0.4022826365734802,0.3485016648168699,0.4214220720135186,0.4170014254243877,0.3190591073582627,0.3561949646533549,0.3701290565092092,0.4268006263048016,0.5758754863813229,0.4893761917733585,0.6045487894350694,0.572702430605494,0.6260223048327136,0.5420956141587929
BCYN-L,28.0,0.162493676895124,7.508576058918603e-07,0.0861825703420802,0.0891459645433681,0.2210460800096883,0.6386804167833882,725.6639,0.0321769695586844,-0.0131356969970261,0.0086395844445584,0.2543435899158546,1.0,0.0780052671532597,0.2544314342471881,8.82338906361207e-08,0.0220159041078751,7.543373993288721e-06,0.1083856552820551,0.2441634427813158,8.319441098951076e-07,0.0943453903421777,4.0,13.352027611485294,0.0650195879159703,0.0664681982998928,0.0510692184777343,1.1565791915441992,0.0182980646038761,0.0415713957563287,0.1565791915441991,0.4797706328382118,-0.0389202762084117,-0.0645918966529653,-0.0948863636363637,0.0088663711209626,0.0521796565389696,0.120253164556962,0.2225633154259401,0.3858199217050893,0.2815768302493966,0.3586353944562899,0.7055674518201285,0.3852173913043477,0.6397323726196602,0.6422680412371136,0.8785377358490565,0.6090909090909089,0.4390243902439024,0.3720930232558139,0.4351351351351351,0.4029062087186261,0.310032894736842,0.2155665776421211,0.1242060691601976,0.063063063063063,0.1535119478638666,0.0101458465440711,0.0759878419452888,0.062,0.0778078484438431,0.073088582014146,0.0549668874172184,-0.0139275766016714,-0.0500894454382826,-0.0049968769519052,0.021153846153846,-0.004375,-0.056,-0.0492390331244404,-0.0102516309412861,-0.0656891495601174,-0.0139275766016714,0.0006281407035175,0.0634178905206941,0.0497528830313014,0.0487162606978275,0.1653255303584491,0.1062499999999999,0.0959752321981424,0.0327390599675849
BCZB-L,29.0,0.1628468744476521,1.141762140035164e-06,0.1310501420980163,0.0369863707757004,0.0856302986409917,2.0472623669624004,-50.0,-0.0803057139815565,0.0004603539982569,0.0003930579911713,-0.0060374024444117,1.0,0.0627623425944433,0.0796543597800471,6.263741658807579e-08,-0.0178697902478888,6.945855145187729e-06,-0.2705036413360784,0.0634537206150945,2.1374810726938862e-06,0.2127639517345399,4.0,1.8983832611565297,0.0493347826920287,-0.0013443376159278,-0.7180476340487711,-0.2776414098152951,0.001964141821112,0.006005543578688,0.1156300519016421,0.4724476902948553,0.0456273764258554,-0.0186567164179105,0.0193798449612403,0.0562248995983933,0.1484716157205239,0.0354330708661416,0.0734693877551018,0.0867768595041322,0.1741071428571428,0.1144067796610168,0.0233463035019454,-0.0899653979238754,-0.0505415162454874,0.0154440154440154,0.0734693877551018,0.0154440154440154,0.0395256916996047,-0.0149812734082397,0.02734375,0.1050420168067227,0.0,-0.0075471698113207,0.0604838709677419,-0.0330882352941177,0.0193798449612403,-0.0330882352941177,-0.0149812734082397,0.0647773279352226,0.1336206896551723,0.0734693877551018,0.1239316239316239,-0.093103448275862,-0.1543408360128617,-0.1624203821656051,-0.224188790560472,-0.1907692307692308,-0.1516129032258065,-0.2195845697329377,-0.2398843930635839,-0.2794520547945205,-0.3375314861460957,-0.3324873096446701,-0.3256410256410257,-0.3204134366925065,-0.3341772151898734,-0.2674094707520891,-0.2930107526881721,-0.3115183246073298,-0.3042328042328042
