firms,absacc,acc,age,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chinv,chpmia,chtx,convind,currat,depr,ep,grcapx,herf,hire,lev,ms,mve_ia,operprof,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,ps,quick,roaq,roeq,roic,tb,agr,egr,grltnoa,invest,lgr,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAOH-L,0.1141725413716321,-0.1141725413716321,12.0,2.20028095533755e-06,0.3006874917296451,0.0452498738898666,-0.0035923745292832,0.3263578563686731,-323.7917,0.0459440502923312,-0.0044371129335157,-0.0471538856544806,-0.0194965272016776,1.0,1.702484919032211,0.1052461599810704,-3.3258058453533184e-07,-0.4006960553706896,2.8147358956979424e-08,0.0456709845886027,1.8571695805304003e-06,2.0,0.4329061693866337,0.1307495377812036,-0.2126418258210679,-0.033328294013319,0.3828464359734285,-0.1481432769183445,-0.3275338807600017,-0.1398064844018653,0.1825171939885649,-0.5432787928440275,-1.850236827941948,3.0,1.053595542960626,-0.0612032335909836,-0.1126656416088233,-0.0801472566496662,1.385415914758833,-0.3695290844819091,-0.3840284930013006,-0.1954697892808467,-0.026676612874546,-0.362599516076749,-0.2335790408911193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBIO-L^E18,0.0502038532256775,-0.0502038532256775,25.0,2.754003601328153e-07,0.0376358497804082,0.0294919057541272,0.1618299761010583,1.4040061743424397,94.0,0.0356284220534657,0.0073547046126788,-0.0028656434474905,0.0021623746805582,1.0,1.3485113835376532,0.1624678663239074,6.128627732533074e-08,0.1610169491525423,5.550278429920082e-07,0.0354166666666667,6.89509408693088e-07,4.0,2.6764640211924,1.241423125794155,-0.0090500414169831,0.0464788654582419,0.2367708893804427,0.085466751799826,0.0391643057630554,0.0441823530943268,0.0476522915377031,-0.0539009991171634,-0.7949367088607595,7.0,0.8050204319906596,0.0226901972415838,0.0844370860927152,0.0901408450704225,0.2700684188264054,-0.0049441786283891,0.127700127064803,-0.1048844831721007,0.0177033492822966,0.0232558139534883,0.0961597542242703,0.0536193029490617,-0.0079787234042553,0.008108108108108,0.0657142857142856,0.1101190476190476,0.0566572237960341,0.2229508196721312,0.2516778523489933,0.3465703971119134,0.4128787878787878,0.3866171003717471,0.4979919678714859,0.6288209606986899,0.6877828054298643,0.7594339622641508,0.7188940092165899,0.7348837209302326,0.7594339622641508,1.0494505494505493,1.1193181818181817,0.8106796116504853,0.7677725118483414,0.6801801801801801,0.7348837209302326,1.0382513661202184,0.9528795811518324,1.027173913043478,1.2202380952380951,0.855721393034826,0.6359649122807018,0.5940170940170941,0.7031963470319635,0.6726457399103138,0.8195121951219513,0.8465346534653466,0.8284313725490196,0.6801801801801801,0.9128205128205128,1.095505617977528,1.2071005917159765,1.4701986754966887,1.722627737226277,2.422018348623853,2.057377049180328,1.722627737226277,1.645390070921986,2.2155172413793105,2.1880341880341883,2.1880341880341883
BBOU-L,0.018428321420288,0.018428321420288,25.0,1.563535389223425e-07,0.0213670682953305,0.0367498453289338,0.1731828109139007,0.5605521910048387,492.5,0.0361278335314234,0.0112594091972926,0.0055944361120141,0.0088814317673378,1.0,1.5501443001443,0.0951557093425605,5.522150998038959e-08,0.5346062052505967,1.4247067906810695e-06,0.0359131099224974,3.7710624723026613e-07,4.0,18.687261862505007,0.8720472440944882,0.2066270303272158,0.0224583388791301,-0.0877330059158388,0.0072009650163122,0.1439247364050275,-0.0051604759077627,-0.1385688932700956,-0.0017840108660674,0.1758551307847082,7.0,0.7886002886002886,0.0337161542449256,0.1201677089255258,0.1471620041378069,0.2949235488561056,0.1220134228187919,0.2591267000715819,0.0324287852910789,0.0459060402684563,0.0920908681382328,0.0623490057610109,-0.1039999999999998,0.0384215991692626,0.0101010101010101,0.0219724067450177,0.0030090270812437,-0.0370727010110736,0.0341261633919338,0.0309278350515465,0.0147133434804667,-0.036144578313253,0.0141987829614604,0.0493179433368311,0.1191941801902629,0.075268817204301,0.1080332409972297,0.1286681715575621,0.1422044545973728,0.1507479861910241,0.2062726176115803,0.3192612137203166,0.2738853503184715,0.2928248222365868,0.3166556945358789,0.3966480446927374,0.4224751066856329,0.4792899408284023,0.5420200462606013,0.6207455429497568,0.593625498007968,0.6168148746968474,0.5600624024960998,0.5432098765432098,0.6420361247947455,0.6680567139282736,0.6501650165016504,0.6666666666666667,0.6877637130801688,0.745200698080279,0.7271157167530224,0.8115942028985508,0.8231540565177757,0.7746228926353151,0.9193857965451055,0.890359168241966,0.7937219730941703,0.7809439002671414,0.8281535648994516,0.8957345971563979,0.845018450184502
BBTU-L^C18,0.1067752617918195,-0.1067752617918195,25.0,3.09620650426126e-07,0.0423123494926812,0.0204813108038914,0.1904624277456647,1.197322356238186,-18.65,-0.000278221385778,-0.0141412333303499,-0.0180150221494083,-0.0061506434519303,1.0,0.4166666666666666,0.288641425389755,4.858216294742492e-08,0.1844919786096256,1.3616189569721208e-08,-0.0002765677936803,5.39116987334484e-07,4.0,0.5726977970049935,0.4399049881235155,-0.077221046466892,-0.3523988542785536,0.1272759667948978,-0.2843628007334214,-0.3523988542785536,1.0307082257469569,0.2058907074987815,0.2343906193027681,-1.7805970149253734,4.0,0.4166666666666666,0.0082506875572964,0.0221575649059982,0.1696467509812472,0.0124067096844074,0.1025592773805043,0.014251781472684,0.0073391210954974,0.0290741437711705,0.1608118657298985,0.0307082257469567,-0.1620111731843575,0.028735632183908,-0.06282722513089,0.0654761904761904,-0.0529100529100527,-0.1751152073732718,-0.1225490196078431,-0.1225490196078431,-0.0578947368421052,-0.2079646017699113,-0.2382978723404255,-0.1751152073732718,-0.0959595959595959,-0.0820512820512819,-0.0271739130434782,0.0467836257309941,0.0346820809248555,0.1548387096774193,0.1329113924050633,0.0914634146341464,-0.011049723756906,0.0914634146341464,0.1623376623376622,0.2430555555555555,0.3769230769230769,0.3664122137404579,0.3161764705882353,0.4916666666666667,0.4094488188976377,0.2094594594594594,0.1699346405228758,0.2013422818791945,0.1776315789473683,0.3664122137404579,0.335820895522388,0.335820895522388,0.4552845528455285,0.4206349206349207,0.335820895522388,0.335820895522388,0.335820895522388,0.2695035460992909,0.4319999999999999,0.2877697841726621,0.1474358974358973,0.1187499999999999,0.2344827586206896,0.1401273885350318,0.2971014492753625
BBXK-L,0.0907620780270871,-0.0907620780270871,25.0,3.312041791954797e-07,0.0452619260513421,0.0254839934202201,0.191587125879822,1.6609168945123824,7.25,0.0124194935262625,0.0115086584461963,-0.0007957998029808,-0.0036888984278585,1.0,0.5664566858776751,0.0895166577269205,6.169593295702497e-08,0.9633363886342804,1.095796205006182e-06,0.0123456790123456,6.717281854178937e-07,4.0,3.141295708951366,0.3773206221776215,0.0872744424685626,-0.2219901117326966,-0.0814570718805124,0.1266021213309812,-0.4236552589815306,-0.1159271303208523,0.0064560709184107,-0.2213529527785228,-1.443111206342404,6.0,0.22365187865791,0.0178863902248797,0.0556116881542254,0.1287925024752139,0.3155554140537046,0.0404768124510194,-0.1020715360906027,-0.0691597601239449,0.0976998061402665,0.1305595728112137,0.0093111744159125,0.0808314087759813,-0.0979166666666666,-0.1252525252525252,-0.1357285429141715,-0.1016597510373444,-0.1072164948453607,-0.0203619909502261,-0.0728051391862955,0.0484261501210654,0.1102564102564103,0.1702702702702703,0.1335078534031415,0.1335078534031415,0.1102564102564103,0.0934343434343434,0.2094972067039107,0.2094972067039107,0.2886904761904763,0.3201219512195123,0.3161094224924012,0.2094972067039107,0.1276041666666667,0.1994459833795014,0.3003003003003002,0.392282958199357,0.3323076923076924,0.3878205128205128,0.3616352201257862,0.34472049689441,0.2772861356932152,0.1766304347826086,0.121761658031088,0.115979381443299,0.2772861356932152,0.273529411764706,0.2094972067039107,0.1734417344173442,0.1246753246753247,0.0309523809523808,0.1045918367346938,0.2231638418079096,0.2061281337047353,0.3241590214067278,0.2128851540616247,0.1830601092896173,0.1639784946236557,0.3081570996978853,0.2301136363636364,0.0771144278606965
BCIP-L,0.1081160401180861,-0.1081160401180861,15.0,2.116145136377949e-06,0.2891896017414545,0.1035602390552376,0.0685622619177649,0.3487964071532968,3011.5695,-0.1915305162876069,-0.0008234045130135,0.0018478405856188,0.0034568169799283,1.0,1.0263624669677744,0.3444284714575863,-1.2589457557118568e-07,-0.2102153009657061,4.1345876017048496e-06,-0.1903921661664748,6.205920271843196e-06,4.0,2.785828577226634,0.4535030821781246,-0.0953401715350122,0.0646666645532525,-0.0016089449912045,0.0144865174438401,0.0702938411270629,-0.0449081625022394,0.0383306492347281,-0.0882264719507475,-7.766502341733895,5.0,1.0040369424308468,0.0020028075046935,0.0082003911388101,0.1222272364353793,1.385415914758833,-0.0712230071918743,-0.0968581718633383,-0.1229257075764452,1.4212448971671576e-05,-0.0590064871955355,-0.1861581819414569,0.0416666666666667,0.0434782608695651,0.0,0.1707317073170731,0.3333333333333332,0.3714285714285714,0.2972972972972973,0.1999999999999999,0.0666666666666666,0.1707317073170731,0.1428571428571428,-0.1111111111111111,0.0,-0.04,-0.0204081632653061,-0.1111111111111111,-0.04,0.0666666666666666,-0.04,0.0666666666666666,-0.1724137931034483,-0.2258064516129032,-0.1864406779661016,-0.1111111111111111,-0.142857142857143,-0.2258064516129032,-0.2258064516129032,-0.2380952380952381,-0.2835820895522388,-0.25,-0.3424657534246575,-0.36,-0.3766233766233766,-0.4216867469879518,-0.4146341463414634,-0.36,-0.323943661971831,-0.2941176470588236,-0.368421052631579,-0.3333333333333333,-0.3424657534246575,-0.2941176470588236,-0.2131147540983606,-0.2258064516129032,-0.3424657534246575,-0.3513513513513513,-0.323943661971831,-0.3424657534246575,-0.3043478260869565
BCYN-L,0.0988820627911034,-0.0988820627911034,25.0,6.091995821915398e-07,0.0832524109648624,0.0946183293253865,0.1418819732279398,0.5768305114084099,-1287.4141,-0.09116818616818,-0.0044709768436683,0.0202923791608155,0.0008477253755497,1.0,1.4496129032536125,0.0666553704505882,4.865790168371147e-08,-0.010982932403882,1.0404646604114433e-05,-0.0906263335288225,7.636967167826095e-07,5.0,18.88579971268656,0.3632619054378844,-0.169344375794951,0.0218288596206326,0.1449210252034588,0.1822898016312378,0.0899309053093852,0.0677366214488397,0.1338219687944464,0.9852101251398262,-3.1140518514869875,7.0,1.0763775950652976,0.0085641316650736,0.0207216301090735,0.2265349182122449,0.9170583664676812,-0.0733681669069467,-0.0392163308834929,-0.0918173652945401,-0.0095193567722883,-0.0521508837842353,-0.0147898748601738,-0.0560117302052787,0.0554008047044258,0.0709798994974875,0.1381842456608812,0.1235584843492585,0.1224489795918368,0.2472567666422824,0.1840277777777779,0.173030615755074,0.1053484602917342,-0.009296920395119,-0.0731176950258222,-0.0290432801822322,0.092948717948718,0.0770688566013897,0.1606535057862492,0.2195994277539341,0.1351531291611185,0.1143790849673203,0.2301587301587302,-0.0273816314888762,-0.0410573678290213,-0.0511964385086254,-0.1283231083844579,0.0911999999999999,0.0320823244552059,0.0485854858548584,0.2092198581560285,-0.0950106157112525,-0.2036431574030827,-0.2475728155339805,-0.198589894242068,-0.2178899082568807,-0.2283322018556234,-0.2058686539357241,-0.2150092081031307,-0.2398573339277753,-0.1894461611599714,-0.1642156862745096,-0.0913935518252064,-0.025992573550414,-0.0115942028985507,0.1742424242424243,0.0818527918781726,0.0091743119266056,-0.1487768347478781,-0.0167243367935409,0.0713163682060948,0.0058997050147493
BCZB-L,0.0293189534651487,-0.0293189534651487,25.0,8.712709298804168e-07,0.119066735494471,0.0962515114873035,0.1654476301930953,2.2813935269465677,40.0,0.0306038746265409,0.0039145196724585,-7.403160410249535e-05,-0.0007698541329011,1.0,0.614446227929374,0.0527335781313749,9.331246309900156e-08,-0.0607394366197183,5.918733118848539e-06,0.0304219823356231,1.05789585607842e-06,4.0,2.7324754829412226,0.207852193995381,-0.0820183052623087,-0.0517207820932496,-0.0141251495238539,0.0038639929868629,-0.1469383563050756,-0.0069799919394683,-0.1014078526359857,-0.1039949173126026,-0.5977198697068404,7.0,0.2975922953451043,0.0145646110938952,0.0326332233987155,0.0672449401073936,0.3926097217720471,0.0287682333873581,0.0184757505773672,-0.0271619732374675,0.0619124797406807,0.0372522723886157,0.0452588140306809,-0.0520547945205479,-0.0806045340050378,-0.0736040609137056,-0.0641025641025641,-0.0568475452196383,-0.0759493670886076,0.0167130919220055,-0.0188172043010753,-0.0445026178010471,-0.0343915343915344,0.064139941690962,0.0960960960960961,0.0579710144927534,0.0830860534124628,0.0310734463276836,0.0549132947976878,0.1094224924012157,0.1300309597523219,0.200657894736842,0.2717770034843205,0.1812297734627832,0.1624203821656049,0.2289562289562288,0.2414965986394557,0.2046204620462046,0.2046204620462046,0.2586206896551724,0.2989323843416369,0.2086092715231788,0.2086092715231788,0.1094224924012157,0.067251461988304,0.0488505747126437,0.0928143712574851,-0.0161725067385445,-0.0568475452196383,-0.029255319148936,0.0252808988764043,-0.0616966580976864,-0.0616966580976864,-0.0135135135135135,0.0458452722063036,0.1514195583596214,0.1162079510703364,0.0798816568047338,0.1094224924012157,0.0798816568047338,0.1196319018404907,0.1265432098765431
BCZN-L,0.0012088020622753,-0.0012088020622753,25.0,3.078217281995589e-07,0.0420665111551676,0.054067871120821,0.134469948563323,0.9695438356172794,-64.80890000000001,-0.0346753854155562,-0.0235672852229376,-0.0038753758405622,-0.0084677432753079,1.0,1.6949567245968853,0.1435755444836405,4.604924876198941e-08,-0.1606075324864261,7.348597469433976e-07,-0.0344692943447797,5.536565502761444e-07,4.0,4.250586773512004,0.3511863837672656,-0.0860468351643752,-0.2534981326079992,-0.0248938453017175,-0.0566517224842868,-0.3322595691201155,-0.027664622170644,-0.0537084217023602,-0.0639900128398083,-0.0239378178102745,4.0,0.8805532607073783,0.0004615709399292,0.0012935258855066,0.0904561115003699,0.4822563014463998,-0.1029993979425667,-0.0777951401053786,-0.0126869738970795,-0.0090286869067222,-0.1164753871763334,-0.1188491306555199,-0.0433763188745602,0.0094674556213016,0.0277108433734938,-0.0011709601873536,-0.0081395348837209,0.0504926108374383,0.070263488080301,-0.0867237687366168,-0.0667396061269147,-0.1637254901960784,-0.2057728119180634,-0.1774349083895853,-0.128702757916241,-0.0877005347593583,-0.0217889908256881,-0.0081395348837209,0.0215568862275448,-0.0372460496613995,0.0517879161528975,0.0949935815147624,-0.1251282051282052,-0.0584988962472406,-0.1039915966386555,-0.09447983014862,0.0978120978120977,0.0492004920049198,0.0689223057644108,0.1913407821229049,0.0466257668711656,-0.1233299075025694,-0.2390722569134702,-0.26592082616179,-0.3208598726114651,-0.2765055131467345,-0.2813816343723673,-0.3002461033634126,-0.3309803921568628,-0.2458001768346597,-0.1242299794661191,-0.118801652892562,0.04406364749082,0.0203349282296649,0.0543881334981457,0.0756620428751575,-0.103049421661409,-0.0081395348837209,0.174931129476584,0.225574712643678,0.1223684210526314
BDAJ-L,0.0910203082945926,-0.0910203082945926,25.0,4.422651711632196e-07,0.0604393746507019,0.0852311468703122,0.1793176408357577,0.2671347427183293,-68.65,0.2373658257098047,0.0003262376641383,-0.0223703989515268,-0.0440502292206497,1.0,0.5616297060340382,0.1676724137931034,5.28377984564574e-08,-0.2488262910798122,3.874262391127337e-09,0.2359550561797752,9.086638696491116e-07,4.0,0.2271332341727125,1.32280701754386,-0.299022270097206,-0.2490860440098916,-0.3615550397877985,-0.0178986252164098,-0.2503838558937321,-0.3671246212535703,-2.5026084922213125,0.6973915077786876,-1.930795847750865,3.0,0.5446106240330068,-0.0010234716157205,-0.0031004547333608,0.1383610451306413,0.6615480838640795,0.5166256157635468,0.0609649122807017,0.2993230568469086,0.086206896551724,0.9174382716049384,-0.3026084922213123,0.0370370370370369,-0.028776978417266,-0.0624999999999998,-0.1176470588235293,-0.1401273885350318,-0.15625,-0.1118421052631578,-0.0999999999999999,-0.2058823529411764,-0.1818181818181817,-0.1717791411042943,-0.1118421052631578,-0.0689655172413792,-0.028776978417266,-0.0939597315436241,-0.1059602649006622,0.0384615384615385,0.1538461538461539,0.1440677966101695,0.1250000000000002,0.1842105263157896,0.0465116279069768,-0.0145985401459853,-0.0217391304347824,0.062992125984252,-0.0492957746478872,-0.0073529411764705,0.163793103448276,0.0227272727272727,-0.0357142857142855,-0.0999999999999999,-0.1059602649006622,-0.1059602649006622,-0.0999999999999999,0.0305343511450382,0.0714285714285714,0.0714285714285714,0.0465116279069768,0.062992125984252,0.1440677966101695,0.1842105263157896,0.1440677966101695,0.4210526315789475,0.1440677966101695,0.1065573770491803,0.1440677966101695,0.2053571428571428,0.4673913043478261,0.6265060240963858
