firms,absacc,acc,age,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chinv,chpmia,chtx,convind,currat,depr,ep,gma,grcapx,herf,hire,lev,ms,mve_ia,operprof,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pctacc,ps,quick,roaq,roeq,roic,tb,agr,egr,grltnoa,invest,lgr,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAJS-L,0.0223725654570698,0.0223725654570698,18.0,8.667542935261681e-07,0.0934777948346526,0.0928603870173826,0.0785055512812908,0.9794965762802518,127.69170000000008,0.0448908540366231,0.0226523780473278,6.423814263224243e-05,0.0020840322146466,1.0,1.2083308666507695,0.0572535213396223,1.275228144886439e-07,0.2880022951328987,0.337158556715399,0.0001730334994924,0.1522996853987561,2.749907000157644e-06,5.0,17.24488102230313,0.849672466254632,0.115521377348568,0.0140706981571176,-0.1240418849491906,0.0119319569475163,0.0276888014394935,-0.0497780644017575,-0.0762276843179489,0.0568492534082064,0.5647431379192842,4.0,0.9077755546446964,0.0101242294399019,0.0436944974940262,0.0569435599158398,0.6298950367176883,0.2962824011327534,0.2534626415017965,0.1092437388993802,0.0575998012424608,0.3104379960307393,0.1879357925825092,-0.0476615494466262,-0.0049733570159856,-0.0312986339270273,-0.0548338113716888,-0.0599093807685853,-0.0619557937039516,-0.0735902100214982,0.0690839694656488,-0.0331377286848463,0.0222627737226277,0.0625948406676784,0.0881895881895882,0.2199477351916376,0.1990582191780823,0.1665972511453561,0.0634016704631739,0.109966316623737,0.1593543046357617,-0.0192577030812324,-0.0588037634408602,-0.0168480168480167,0.1481861037097767,0.0911569925983637,-0.0269237450060795,-0.0551526395682239,-0.0880677193553637,-0.1222187402068316,-0.1440794499618028,-0.1129057798891527,-0.0793755135579292,0.0449542995709757,0.0439806187103988,0.1641729010806318,0.189384288747346,0.1495998358300843,0.1545754328112119,0.0178052325581397,-0.0049733570159856,0.0248810830589096,-0.0306281363557707,0.0362560118386978,0.1152697591081028,0.0676577091671433,0.1053670086819258,0.0949960906958562,0.1562435500515995,0.2429554027069005,0.2086299892125134,0.398402396405392
BAOH-L,0.1409654301445557,-0.1409654301445557,3.0,1.5409169503331626e-06,0.166184949548373,0.0735895919794447,0.292721846827175,0.781887750507014,-20.434300000000004,0.0533100959373083,0.0140856808114541,-0.0135861109171027,-0.0001151171153199,1.0,1.224924315125238,0.149346933785452,8.179373008188209e-08,0.2509406696504611,0.7547430099742456,5.00123838269169e-08,0.1808633632411132,1.58015582680575e-06,3.0,0.4865067979969972,0.5056092024750282,0.1988810505353239,-0.239092898535755,0.0559826073810499,0.201024240951865,-0.2215683967128704,-0.0291487497890748,0.1737491876041423,-0.7876892388601678,-4.876533545525365,6.0,0.8416336426316128,0.0038603960173601,0.0078096573355253,0.0515206339296463,1.672041325201386,0.2851757284258882,0.3769343440952372,0.0535698874887257,0.4854124732344249,0.2060347873857983,0.2880761949235543,-0.0248756218905471,0.0049999999999998,-0.2769784172661871,-0.2947368421052633,-0.2996515679442509,-0.2922535211267606,-0.2922535211267606,-0.2795698924731183,-0.325503355704698,-0.2972027972027973,-0.2664233576642337,-0.2821428571428571,-0.2717391304347826,-0.33,-0.2717391304347826,-0.2922535211267606,-0.2795698924731183,0.0523560209424083,0.0634920634920634,0.1166666666666664,0.1355932203389829,-0.3020833333333333,-0.3044982698961939,-0.2872340425531915,-0.3020833333333333,-0.320945945945946,-0.3322259136212625,-0.3232323232323233,-0.3557692307692308,-0.4478021978021979,-0.2947368421052633,-0.12987012987013,-0.0242718446601942,-0.1625000000000001,-0.0779816513761469,-0.0821917808219179,-0.1373390557939915,-0.1446808510638298,-0.1260869565217391,-0.1260869565217391,-0.1260869565217391,-0.1260869565217391,-0.1260869565217391,-0.1260869565217391,-0.1260869565217391,-0.1260869565217391,-0.1260869565217391,-0.1260869565217391,-0.1260869565217391
BBIO-L^E18,0.0514813016027197,-0.0514813016027197,28.0,3.834322094053018e-07,0.04135243133088,0.070096463022508,0.0996458467482292,1.555446372662517,131.0,-0.0322652546974402,0.0316901408450704,-1.651654595333822e-05,0.0065545959284392,1.0,1.3192206819033343,0.1411985018726591,4.362510327977576e-08,0.663736849114396,0.2644376899696048,7.867041253913438e-07,-0.1094652406417111,1.2260096173791523e-06,5.0,1.6760496560074944,1.3344068706387546,0.0848797963166557,0.0546245850342296,0.0151526278426475,0.0188515675304009,0.0734254442451432,-0.0030520302543536,-0.0389175644091567,-0.0029242767798462,-1.7520661157024793,8.0,0.7830648182840015,0.0237085797166127,0.0999059708509638,0.0972744360902255,0.2810607308484922,0.1936343055000665,0.1417069243156199,-0.0471102476930323,0.1935011319749633,0.2094967099413124,0.2200248928225694,-0.0182370820668693,-0.0679886685552407,-0.0835654596100278,-0.0936639118457299,-0.1132075471698113,-0.0518731988472622,-0.0090361445783131,0.0751633986928104,0.0444444444444445,0.0154320987654319,0.0092024539877302,0.1384083044982698,0.1920289855072465,0.1920289855072465,0.1792114695340501,0.1503496503496504,0.1666666666666667,0.1834532374100721,0.0681818181818181,0.0930232558139536,0.1267123287671232,0.2185185185185185,0.175,0.0411392405063291,-0.0323529411764705,-0.103542234332425,-0.0573065902578796,-0.0835654596100278,-0.0936639118457299,-0.1155913978494623,-0.0436046511627906,-0.0436046511627906,0.0411392405063291,0.0544871794871795,-0.0706214689265536,-0.0436046511627906,-0.10840108401084,-0.1607142857142857,-0.1498708010335917,-0.1775,-0.1628498727735369,-0.1628498727735369,-0.1179624664879356,-0.1249999999999998,-0.1108108108108107,-0.0599999999999999,-0.0208333333333332,-0.0679886685552407,0.078688524590164
BBOU-L,0.0144753134864577,-0.0144753134864577,29.0,1.678552607981383e-07,0.0181028692306463,0.0421173044925124,0.1752298539751217,0.6293341066539181,39.0,-0.0134246915279655,0.0072899771534208,-0.001008648057164,0.0020539451247868,1.0,1.2990990990990992,0.0899352267065271,4.422212194206746e-08,0.2713488470043171,-0.1880877742946708,1.467747720298816e-06,-0.045545497856122,2.7376374349119426e-07,3.0,18.56342227617866,0.6318874560375146,0.0079559831668915,-0.0920101529455347,0.0058749707436077,0.0254846305787596,-0.1599403756670314,0.1036176953046933,0.1752816654849869,-0.0008968798749603,-0.152741994847258,7.0,0.5801801801801801,0.0189877605028117,0.060586869326578,0.1186434138436607,0.3817646769217374,0.0125302727177003,0.2090269636576787,0.0183819041141282,0.0184268716436769,-0.0814264649664136,0.1492608488316643,0.0734711834579848,-0.0298762270593255,0.0120213713268031,-0.0026327336551118,-0.0030701754385965,0.0388482632541133,0.077251184834123,0.1561546286876907,0.0523148148148147,0.0124721603563475,0.0906909788867562,0.0547563805104407,0.0787850023730423,0.219420600858369,0.2313109425785482,0.2051961823966066,0.2083997873471559,0.1900523560209424,0.2240172320947764,0.1888075313807531,0.2161583734617442,0.2870894677236693,0.3441750443524543,0.2648859209794103,0.212913553895411,0.2502750275027503,0.2523415977961434,0.2168094218415417,0.1857068335941574,0.1656410256410256,0.2299783549783549,0.1585117227319061,0.25303197353914,0.2914772727272727,0.2805633802816902,0.2784026996625421,0.1950578338590958,0.1919244887257472,0.2454794520547945,0.2273218142548596,0.2339847991313788,0.2684151785714284,0.1365,0.1801661474558669,0.1479797979797978,0.1614716402657128,0.1399197592778334,0.0943668753009148,0.1752843846949328
BBTU-L^C18,0.1757442116868798,-0.1757442116868798,28.0,5.901494233428286e-07,0.0636464879713503,0.0164009250243427,-0.0736957590890175,0.4018348489401733,30.4,0.2425652147272707,-0.0062624035281146,0.0123020712843331,0.0061689481268011,1.0,0.3275933182099402,0.4682435392028033,-8.401332812273703e-08,1.2187117101347804,0.8805970149253729,2.298383012536727e-08,0.8229428172942816,8.048501507676011e-07,3.0,0.7347306559331767,1.340929009640666,0.1142050349630383,-0.4952507207013509,0.0762341811909393,4.076098540356326,-0.497792737846072,1.1558413051851777,-0.0297391477827858,-5.984704047367202,-1.9505628976994616,4.0,0.3259434935038152,0.0028593326258695,0.0067591108633544,0.1246655644070344,1.417014518027815,1.969018029056538,2.144390885188431,0.8772657111355695,0.0692280763171713,1.852645386969829,0.2571071279699876,0.1140350877192983,-0.0731707317073171,-0.1297709923664123,-0.1230769230769232,-0.0655737704918033,-0.0731707317073171,-0.0172413793103448,-0.0806451612903226,-0.1678832116788322,-0.1971830985915493,-0.2645161290322582,-0.1678832116788322,-0.0086956521739131,-0.161764705882353,-0.0256410256410256,-0.0256410256410256,-0.1555555555555556,-0.1023622047244094,-0.05,-0.0256410256410256,0.0857142857142856,0.1752577319587627,0.1632653061224489,0.0270270270270267,-0.1363636363636364,-0.0420168067226891,0.1176470588235292,0.096153846153846,-0.0256410256410256,-0.0172413793103448,0.0363636363636361,0.0178571428571425,-0.0338983050847457,-0.0952380952380953,-0.1492537313432836,-0.1297709923664123,-0.1798561151079136,-0.2597402597402598,-0.2597402597402598,-0.161764705882353,-0.2919254658385094,-0.2400000000000001,-0.3631284916201118,-0.3448275862068966,-0.4031413612565445,-0.3214285714285715,-0.3968253968253968,-0.4746543778801844,-0.4411764705882354
BBXK-L,0.1133765482530159,-0.1133765482530159,29.0,5.995856628159562e-07,0.0646641683728988,0.0419051951826717,0.127979086200627,1.7555399865098078,-43.99999999999999,0.0190313177635698,-0.0049377120741372,0.0024231798980117,-0.000709983841747,1.0,0.7277449324324324,0.1103807515812972,2.2244869345673245e-08,0.5340356755226275,-0.407627443464929,1.140485885431855e-06,0.0645669094589024,9.768176145378857e-07,4.0,1.5905049284876829,0.3128700801114594,-0.0500491856015765,0.0481439262240206,0.0131368929602694,-0.0172128573197476,0.296392719249862,0.0580660362259931,0.1850938336518036,-0.0135168380837295,-8.117847993168233,6.0,0.4074324324324324,0.0051070244196563,0.0134176092259924,0.1456248560386967,0.7345241780041706,-0.0216955311217025,-0.0838557993730406,-0.1126847914889536,0.0321480817328112,0.0216769322471687,0.0063095666672982,-0.0385756676557863,-0.1013333333333332,-0.0817438692098092,0.0,-0.0029585798816567,-0.0058997050147492,-0.0371428571428571,0.0337423312883435,-0.0146198830409356,0.0337423312883435,-0.0260115606936415,0.0531249999999998,0.0531249999999998,-0.0916442048517519,-0.205188679245283,-0.1719901719901719,-0.2180974477958235,-0.2070588235294117,-0.2544247787610618,-0.3366141732283464,-0.3519230769230769,-0.3273453093812375,-0.33399209486166,-0.3805147058823529,-0.381651376146789,-0.4209621993127148,-0.3850364963503649,-0.3641509433962263,-0.3392156862745097,-0.2949790794979079,-0.2964509394572024,-0.3122448979591837,-0.1658415841584158,-0.1553884711779448,-0.2358276643990929,-0.2126168224299065,-0.2107728337236533,-0.251111111111111,-0.240990990990991,-0.267391304347826,-0.3259999999999999,-0.2799145299145298,-0.2217090069284064,-0.2979166666666666,-0.3191919191919192,-0.3273453093812375,-0.3008298755186722,-0.3051546391752576,-0.2375565610859727
BCIP-L,0.0591218561997966,-0.0591218561997966,18.0,4.844222583581244e-06,0.5224401519364693,0.0831836612462765,0.1345426661236176,0.4263180879930373,-138.3981,0.022675162435905,0.0007694375073553,-0.011198322581257,-0.0008185182335566,1.0,0.9451333195412116,0.2622860617083066,4.0225754281150964e-07,0.1697489816910841,0.483388221362905,2.6663442053177995e-06,0.0769292582969491,1.0711563633751687e-05,5.0,1.1291663022064458,0.4893318145116022,0.0027364241431242,0.0182329781864634,-0.0569753563509602,0.0421619438946073,0.0119915595958403,-0.1136951671671039,-0.0815918753784957,0.0745800172873533,-2.2146508419678903,7.0,0.9232514840011768,0.0057682092504524,0.0188636900206976,0.0545711348802012,0.708104916927566,0.1457446315027689,0.3951680165329152,0.0624126161285012,0.2405557294013931,0.0887365587191828,0.1178111390737396,0.0689655172413794,-0.0169491525423729,0.0545454545454544,0.0,0.0545454545454544,0.0545454545454544,-0.0169491525423729,0.183673469387755,-0.0169491525423729,0.0943396226415094,0.0545454545454544,0.0943396226415094,0.183673469387755,0.0740740740740739,0.0545454545454544,-0.0169491525423729,0.0357142857142855,-0.0491803278688525,-0.1714285714285714,-0.2368421052631579,-0.1944444444444444,-0.1076923076923077,-0.0937500000000001,-0.1470588235294119,-0.1212121212121213,-0.1076923076923077,-0.0937500000000001,-0.0793650793650794,-0.0937500000000001,-0.0491803278688525,0.0740740740740739,0.0545454545454544,0.0545454545454544,0.0545454545454544,0.0545454545454544,0.0545454545454544,0.0,0.0,-0.0169491525423729,0.0175438596491228,0.1372549019607842,0.1599999999999999,0.2083333333333332,0.2608695652173911,0.2083333333333332,0.4146341463414633,0.6111111111111112,0.657142857142857,0.5675675675675675
BCQF-L,0.0205875720618848,-0.0205875720618848,28.0,3.338656441717792e-07,0.0360067719552478,0.0721453557408495,0.0958357230897747,1.0275879307238889,129.5068000000001,0.0543796077116787,0.0304010457959615,0.0002954160064304,-0.0012089499408446,1.0,1.2892394446444253,0.2565022393535844,5.1351934094189826e-08,0.2575358785455085,0.2948820159486648,4.8014054517958376e-05,0.1844918597414023,8.871041760645976e-07,5.0,26.79134318360216,0.4678532813576973,0.1079250676530729,-0.0084971230343295,0.0976564378366667,0.043242939504325,0.0021978839714348,0.0004933171975714,-0.0705205367763039,0.0354678216254021,-0.446408215327767,6.0,0.8660872404542891,0.0107238476473568,0.0371505530371505,0.0520160756428047,0.5407383503068415,0.2267595539603774,0.1654091105578637,0.0014634795955346,0.074494883637262,0.2515828060023505,0.2365988191726422,-0.0317430852051234,-0.0240057976265967,-0.0305920460680223,-0.0147233653406493,0.0044751072161102,0.0359615384615383,0.0929194562791642,0.210289822511795,0.1660173160173159,0.1924737133370226,0.2033955098849547,0.317437026167767,0.3936101409908161,0.4323318266418505,0.4978451272070066,0.4864790286975715,0.5921383183094429,0.6274924471299093,0.6279842852825626,0.5793022574025213,0.6341574397087817,0.8395082806897729,0.7015161086544535,0.553344867358708,0.6514408338442674,0.5648511256354394,0.4945207379664307,0.469849931787176,0.499095589258383,0.5068531468531468,0.5767598419435094,0.545767575322812,0.5698674049249599,0.4854542947745759,0.4300504380143348,0.5049587931275317,0.3990390858330086,0.3557317226626399,0.3816363170043599,0.3286471821432974,0.4004939555440008,0.3961383957496436,0.2996381182147163,0.3362272107156145,0.3499561458463851,0.4057933194154488,0.5526732958639573,0.4674475619722145,0.5809244314013204
BCYN-L,0.0463478215980407,-0.0463478215980407,28.0,6.590311385085808e-07,0.0710752493703023,0.0891459642073565,0.2210460800096883,0.6284558349566366,631.5210999999999,0.031947043214117,0.0033762070418054,-0.014221320344316,0.0075269894378261,1.0,1.6048936252442234,0.0780052671532597,7.744328744182543e-08,0.1442454316568367,-0.5344841713570959,7.549446492789574e-06,0.1083856552820551,7.302011321686529e-07,4.0,14.572379454114682,0.3221165362893559,-0.0782882982438879,0.048020094338887,0.0650195879159703,0.0664681982998928,0.0598564665418826,0.0510692184777343,-0.5472311241016459,1.1565791915441992,-0.833441615907453,7.0,1.2924468095976116,0.0175127539836023,0.0376215084866092,0.0626758376045108,0.4809317238431597,0.162493676895124,0.2544314342471881,0.0220159041078751,0.2441634427813158,0.0943453903421777,0.1565791915441991,0.037937166567872,0.0734966592427617,0.1018941868060092,0.0590081607030761,-0.009395184967704,-0.0414772727272727,0.0683977200759975,0.1142668428005284,0.1863572433192686,0.2947045280122795,0.4675946063505873,0.3572003218020918,0.4388059701492539,0.8062098501070665,0.4669565217391305,0.7364899639732374,0.739175257731959,0.98938679245283,0.704040404040404,0.5239385727190606,0.4530577088716625,0.5198198198198201,0.4856891237340379,0.3873355263157896,0.2872949256009156,0.1905434015525759,0.1257924591257926,0.2215785662563361,0.0697526949904883,0.1394799054373523,0.1246666666666667,0.141407307171854,0.1364095655102728,0.1172185430463577,0.0442587434230887,0.0059630292188432,0.0537164272329793,0.0814102564102565,0.054375,-0.0002962962962962,0.0068636227991645,0.048151599875738,-0.010557184750733,0.0442587434230887,0.0596733668341709,0.1261682242990653,0.1116968698517297,0.110599078341014,0.2340892465252377
BCZB-L,0.0422773086352492,-0.0422773086352492,29.0,1.265347539211446e-06,0.1364653149668754,0.044876444702355,0.0856302986409917,2.0144879135084195,-49.0,-0.0797318750055155,0.043966221737946,0.0004984007839463,-0.0006188118811881,1.0,0.7374314708970022,0.0627623425944433,6.941734899341023e-08,0.1332704884227891,-0.3333333333333333,6.951446635406786e-06,-0.2705036413360784,2.368844018037726e-06,4.0,1.6408969561331292,0.1467399842890809,-0.0062317762886178,0.1157716494850232,0.0493347826920287,-0.0013443376159278,0.0259827700556394,-0.7180476340487711,-0.4103304880775894,-0.2776414098152951,-2.0583554376657824,5.0,0.5303860958824216,0.0042052996909358,0.0120779976717112,0.0144443246739247,0.4735910590756093,0.1628468744476521,0.0796543597800471,-0.0178697902478888,0.0634537206150945,0.2127639517345399,0.1156300519016421,-0.0040160642570281,-0.10752688172043,-0.0945454545454544,-0.053231939163498,-0.0708955223880596,-0.0348837209302325,0.0,0.0873362445414847,-0.0196850393700787,0.0163265306122448,0.0289256198347107,0.1116071428571428,0.0550847457627119,-0.0311284046692605,-0.1384083044982699,-0.1010830324909746,-0.0386100386100384,0.0163265306122448,-0.0386100386100384,-0.0158102766798416,-0.0674157303370786,-0.0273437499999998,0.046218487394958,-0.053231939163498,-0.0603773584905659,0.0040322580645162,-0.0845588235294118,-0.0348837209302325,-0.0845588235294118,-0.0674157303370786,0.0080971659919029,0.0732758620689657,0.0163265306122448,0.0641025641025643,-0.1413793103448275,-0.1993569131832796,-0.2070063694267515,-0.2654867256637168,-0.2338461538461538,-0.1967741935483871,-0.261127596439169,-0.2803468208092484,-0.3178082191780821,-0.3727959697732997,-0.3680203045685278,-0.3615384615384615,-0.3565891472868217,-0.3696202531645569,-0.3064066852367687
