firms,age,agr,bm,bm_ia,cash,cashdebt,chatoia,che,chempia,chpmia,chtx,cinvest,convind,depr,egr,ep,grltnoa,herf,hire,invest,lev,lgr,ms,mve_ia,pchdepr,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BAJS-L,17.0,0.0872069045755145,7.634702262067696e-07,0.1145852112243607,0.0830700940781269,0.0796568890683079,1.2000201257726697,480.8481999999999,-0.1137734501870361,-0.0001851118815656,0.0002516991498145,0.0729729455388872,1.0,0.0653610262361704,0.1645391075857934,1.200775410109743e-07,0.0254727730894696,0.0001650558887,-0.0369131269325054,0.0432754465124859,2.316909273169618e-06,0.0638581806350923,5.0,20.9697410663619,-0.0050402700017573,-0.0066577430699176,0.0114643484376437,0.0982258005530458,0.0085618302358596,0.0362480182177587,0.0926187647148537,0.7684990456039854,-0.1540616246498599,-0.0403225806451613,0.0024570024570025,0.1707317073170731,0.1125827814569535,-0.0078165711307973,-0.0365997638724912,-0.0701611590428129,-0.104982764023817,-0.1272727272727273,-0.0954869358669834,-0.0612982744453575,0.0654728595411302,0.0644800596347372,0.1870324189526184,0.2127388535031846,0.1721731992612354,0.1772464962901894,0.0377906976744186,0.0145648312611013,0.0450054884742041,-0.0115937013324104,0.0566037735849056,0.137169022496516,0.0886220697541451,0.1270718232044199,0.1164972634870993,0.1789473684210525,0.267361881517639,0.2323624595469255,0.4258612081877182,0.3635712580568153,0.6026936026936025,0.5959765297569153,0.4538050394502417,0.5211717709720374,0.7045658012533573,0.846153846153846,0.946166950596252,0.8938992042440317,0.869109947643979,0.8053097345132743,0.9649122807017544,0.9951100244498778,0.6814836620547542,0.4902165405687451,0.5051383399209484,0.564931506849315,0.9408766564729868
BBIO-L^E18,27.0,0.1241017964071856,3.909902193903781e-07,0.0586816556005054,0.0404847516313756,0.0931309016848731,1.5685910923066595,-136.0,0.2818349387811259,-0.0002042758504803,-0.0041673345087353,0.0652860652860652,1.0,0.1390909090909091,0.2596348884381338,4.1344644777189743e-08,0.00676580449644,7.114769121290021e-07,0.0914396887159533,0.0754491017964071,1.1801062821428318e-06,0.0857308360687391,5.0,1.9328373452927432,-0.0187422166874221,0.0027984046889804,-0.1692802235909847,-0.0073814856500141,0.0026218383713756,0.0109184328837508,0.035663133772558,0.3503770812652765,-0.0974025974025974,0.0232558139534884,0.0547945205479452,0.1407407407407406,0.1,-0.0253164556962025,-0.0941176470588235,-0.1607629427792914,-0.1174785100286532,-0.1420612813370473,-0.1515151515151515,-0.1720430107526882,-0.1046511627906976,-0.1046511627906976,-0.0253164556962025,-0.0128205128205128,-0.1299435028248587,-0.1046511627906976,-0.1653116531165311,-0.2142857142857143,-0.2041343669250646,-0.2299999999999999,-0.2162849872773536,-0.2162849872773536,-0.1742627345844504,-0.1808510638297872,-0.1675675675675676,-0.12,-0.0833333333333332,-0.1274787535410764,0.0098360655737705,0.0335570469798658,0.111913357400722,0.1666666666666667,0.1449814126394053,0.2369477911646584,0.3449781659388646,0.3936651583710409,0.4528301886792452,0.4193548387096775,0.4325581395348838,0.4528301886792452,0.6923076923076923,0.75,0.4951456310679611,0.4597156398104267,0.3873873873873872,0.4325581395348838,0.6830601092896174
BBOU-L,27.0,0.1236718341752308,1.6167799408876376e-07,0.024265395646188,0.020188827107512,0.172420274418896,0.7532464868192432,-142.5,0.6747952570376454,0.0004732178269881,-0.0018972984120437,-0.0235462004994648,1.0,0.1005420054200542,0.1389418144511212,4.9537421686442754e-08,0.1345964566929134,1.5909498662066878e-06,0.2189333533925078,0.0303083086570283,3.442861209858272e-07,0.0763626902562768,3.0,19.497294142584337,0.0033741412995526,-0.0536492927586521,-0.0292686952328641,0.0504655450327576,0.0272438381646256,0.0904645476772616,0.0541041138623513,0.3141665785756904,0.0285406569736135,-0.028765690376569,-0.0064205457463885,0.051528878822197,0.0981667652276758,0.0333889816360601,-0.0090715048025612,0.0214521452145215,0.0231404958677687,-0.0058886509635973,-0.0312989045383412,-0.0476923076923077,0.0048701298701299,-0.0535168195718654,0.0237045203969128,0.0551136363636362,0.0461971830985916,0.044431946006749,-0.0236593059936908,-0.0262191924488726,0.0175342465753425,0.0026997840172786,0.00814332247557,0.0362723214285714,-0.0715,-0.0358255451713396,-0.0621212121212121,-0.0510986203372508,-0.0687061183550652,-0.1059220028887818,-0.0398138572905893,-0.0427835051546391,-0.0578386605783866,-0.1050602409638553,-0.0583164300202838,-0.0257082896117523,0.0391717963066591,-0.0016129032258065,0.0288088642659278,0.0479683972911963,0.0605368360936606,0.0684695051783659,0.1200241254523524,0.224934036939314,0.1828025477707007,0.2003878474466709,0.2225148123765636,0.2967877094972067,0.3207681365576103
BBTU-L^C18,27.0,-0.0187220886293371,3.5289659477560014e-07,0.0529643848112137,0.0247680728163836,0.1131066630106937,1.759589917357879,13.35,0.0852606576531557,0.0020606807343745,-0.0132275132275132,-0.0134272146716882,1.0,0.4350758853288364,0.1654749744637383,3.943410677816741e-09,-0.1255309926311121,1.957783180222916e-08,0.0276623190483015,-0.0014599793885262,5.305047188333463e-07,-0.1120745438074285,5.0,0.5246220196662114,0.0493336024533327,-0.1505751647620546,1.0211987059424483,-0.2385100319216289,0.0209384005763688,0.0763045618641286,0.0211987059424485,-15.202339106006534,0.0583333333333333,0.0256410256410257,0.1428571428571428,0.2371134020618557,0.2244897959183673,0.0810810810810809,-0.0909090909090909,0.0084033613445377,0.1764705882352941,0.1538461538461537,0.0256410256410257,0.0344827586206897,0.0909090909090908,0.0714285714285714,0.0169491525423728,-0.0476190476190476,-0.1044776119402985,-0.0839694656488549,-0.1366906474820143,-0.2207792207792208,-0.2207792207792208,-0.1176470588235295,-0.2546583850931677,-0.2,-0.3296089385474861,-0.3103448275862069,-0.3717277486910995,-0.2857142857142857,-0.3650793650793651,-0.4470046082949308,-0.4117647058823529,-0.4117647058823529,-0.368421052631579,-0.4690265486725663,-0.4893617021276596,-0.4470046082949308,-0.3939393939393939,-0.3846153846153846,-0.3478260869565218,-0.2982456140350877,-0.3063583815028902,-0.2258064516129032,-0.2405063291139241,-0.2682926829268293,-0.3370165745856354,-0.2682926829268293,-0.2207792207792208,-0.1666666666666666,-0.0769230769230769
BBXK-L,27.0,0.0370871820827534,4.629320293830772e-07,0.0694790216416582,0.0316525883629842,0.1971433056035159,2.0134655816716065,-20.5,-0.1268359025358861,0.0002502584195346,0.0002151081867645,-0.0268022583994177,1.0,0.1030192204488084,0.1818416872899197,7.038893370885956e-08,-0.0257157232391842,1.4467695416747024e-06,-0.0411511627906976,0.0243451853726431,7.230310758957532e-07,-0.0382964801878259,4.0,2.803669423507668,0.1278136127472423,0.0377766371469089,0.056581214959,-0.0243627405678057,0.0143343289428585,0.0382180156657963,0.0001648932558657,0.3903330823679053,-0.0597345132743362,-0.110236220472441,-0.1307692307692308,-0.0978043912175649,-0.1067193675889328,-0.1691176470588237,-0.1706422018348624,-0.2233676975945018,-0.1751824817518249,-0.1471698113207548,-0.1137254901960784,-0.0543933054393306,-0.0563674321503132,-0.0775510204081634,0.1188118811881187,0.1328320802005012,0.0249433106575962,0.0560747663551399,0.0585480093676815,0.0044444444444442,0.0180180180180178,-0.017391304347826,-0.096,-0.0341880341880341,0.043879907621247,-0.0583333333333333,-0.0868686868686869,-0.0978043912175649,-0.062240663900415,-0.068041237113402,0.0226244343891401,-0.0321199143468952,0.0944309927360773,0.1589743589743588,0.2216216216216213,0.1832460732984293,0.1832460732984293,0.1589743589743588,0.1414141414141412,0.2625698324022345,0.2625698324022345,0.3452380952380951,0.3780487804878047,0.3738601823708205,0.2625698324022345,0.1770833333333332,0.2520775623268698,0.3573573573573572,0.4533762057877812
BCIP-L,17.0,-0.0548553149902383,3.5290631739061414e-06,0.529658440271161,0.0750926551489256,0.0674158123489604,0.399958939165291,-581.5323999999999,-0.1627637480795209,0.0048495052750695,-0.0039078057398265,0.1130350296311227,1.0,0.2781327757177045,-0.0786147668519312,-1.36873957514973e-07,-0.0856231725598135,2.872540195643327e-06,-0.0528077410238746,-0.0314544121346331,9.999813959027534e-06,-0.049727587989053,4.0,1.4915451975532303,-0.1308675301011371,0.0073394980862995,0.0973219951474555,-0.0439214336666518,-0.0078725963721244,-0.0316223111984118,-0.1322568668620366,1.6052159304478948,-0.1285714285714285,-0.0789473684210526,-0.0277777777777777,0.0769230769230768,0.09375,0.0294117647058822,0.0606060606060605,0.0769230769230768,0.09375,0.1111111111111109,0.09375,0.1475409836065573,0.296296296296296,0.2727272727272725,0.2727272727272725,0.2727272727272725,0.2727272727272725,0.2727272727272725,0.2068965517241379,0.2068965517241379,0.1864406779661016,0.2280701754385965,0.3725490196078429,0.3999999999999999,0.4583333333333332,0.5217391304347825,0.4583333333333332,0.7073170731707317,0.9444444444444444,1.0,0.8918918918918919,0.7499999999999998,0.5555555555555554,0.7073170731707317,0.6666666666666665,0.296296296296296,0.4583333333333332,0.3999999999999999,0.4285714285714286,0.296296296296296,0.3999999999999999,0.5555555555555554,0.3999999999999999,0.5555555555555554,0.2068965517241379,0.129032258064516,0.1864406779661016,0.296296296296296,0.2499999999999997
BCYN-L,27.0,-0.1016833894904709,1.0873043111488182e-06,0.1631877575333279,0.1034249266690473,0.0737748119709476,0.4440798195195664,-1248.5597,-0.0994375266952661,0.0108770588636629,-0.00554722056333,-0.1235279101840695,1.0,0.0732430351876441,-0.1463675711525249,-2.5210998862310698e-08,-0.1036293433128639,7.597157502342654e-06,-0.0322619208499225,-0.0327519825085142,1.380957116180961e-06,-0.057330806290735,3.0,9.453197507354352,0.0534514018086647,-0.1305980789767673,0.0025847341062928,0.7730057304144082,-0.0093835682891438,-0.0230045529419322,-0.2269942695855917,1.6052159304478948,-0.1434343434343434,-0.1056910569105691,-0.1472868217054262,-0.108108108108108,-0.1281373844121532,-0.1858552631578947,-0.2445631438382296,-0.3013408609738884,-0.3393393393393392,-0.2831281679942071,-0.3722257450856056,-0.331306990881459,-0.3399999999999999,-0.3301759133964816,-0.3331087908386662,-0.3443708609271523,-0.3871866295264624,-0.4096601073345259,-0.381636477201749,-0.3653846153846153,-0.38125,-0.4133333333333333,-0.4091316025067143,-0.3849021435228331,-0.4193548387096774,-0.3871866295264624,-0.3781407035175879,-0.3391188251001334,-0.3476112026359144,-0.3482554312047399,-0.2757863935625456,-0.3125,-0.3188854489164087,-0.3581847649918963,-0.4247530505520046,-0.4618102745311225,-0.4362186788154897,-0.3653846153846153,-0.3746051800379026,-0.326072157930565,-0.2918454935622318,-0.3408788282290279,-0.3529411764705882,-0.2857142857142857,-0.4352538505419281,-0.4431946006749157,-0.4490818030050083,-0.4938650306748465,-0.3663999999999999
BCZB-L,27.0,-0.0001813784764207,1.175200506316164e-06,0.1763796329246025,0.0368231897719908,0.0383597269307574,2.0258370320809465,-84.5,0.0115222237847286,0.0024791705648342,-0.0026299879081015,0.0131574790125246,1.0,0.0600124378109452,-0.0772946859903381,-3.5219946569504094e-08,-0.0437161774042385,7.691395426401204e-06,0.0037383177570093,0.0087666263603385,2.3334275444060603e-06,0.0439487422876127,3.0,1.911911309858618,0.0760850917824668,0.0805746801524742,0.0006947599469768,-0.5825035342960935,0.0060997171145685,0.0166639832555144,-0.0072654390579982,1.6052159304478948,-0.0540540540540539,0.0237154150197629,-0.0299625468164794,0.01171875,0.0882352941176469,-0.0152091254752851,-0.0226415094339622,0.0443548387096772,-0.0477941176470589,0.003875968992248,-0.0477941176470589,-0.0299625468164794,0.0485829959514167,0.1163793103448276,0.0571428571428569,0.1068376068376069,-0.1068965517241379,-0.1672025723472668,-0.1751592356687898,-0.2359882005899706,-0.2030769230769231,-0.1645161290322581,-0.2314540059347182,-0.2514450867052024,-0.2904109589041096,-0.3476070528967255,-0.3426395939086294,-0.3358974358974359,-0.330749354005168,-0.3443037974683545,-0.2785515320334262,-0.3037634408602151,-0.3219895287958115,-0.3148148148148147,-0.2448979591836735,-0.2222222222222223,-0.2492753623188406,-0.2314540059347182,-0.268361581920904,-0.2514450867052024,-0.2127659574468086,-0.1981424148606811,-0.1480263157894737,-0.0975609756097561,-0.1618122977346278,-0.1751592356687898,-0.127946127946128,-0.119047619047619,-0.1452145214521452
BCZN-L,27.0,-0.0638007352422282,3.804739379496853e-07,0.0571033224988157,0.0629778127614424,0.1124596081274374,1.327546091128491,-141.582,-0.5292566913825386,0.001797378610213,-0.0017068131363394,0.0119090208931152,1.0,0.1619763813150013,-0.0890501600512504,3.914584467925235e-08,-0.1159866208279431,6.495226651051472e-07,-0.1717142215232531,-0.0696803544534953,7.522587407648306e-07,-0.0516492747244929,3.0,2.915641617018027,0.0788917852019977,0.0360761519876398,0.0706213817432461,-0.1065209316231302,-0.0014303712344654,-0.0042993793120666,-0.0497939032982954,0.8563295979742773,-0.0369747899159663,-0.1262848751835534,-0.0261865793780687,0.0136286201022146,-0.0372168284789643,-0.0817901234567901,-0.1678321678321678,-0.2468354430379746,-0.2805320435308343,-0.1860465116279068,-0.1759002770083102,-0.151212553495007,-0.0510366826156298,-0.1052631578947368,-0.1172106824925816,-0.1339155749636098,-0.2077230359520638,-0.2098273572377158,-0.2496847414880201,-0.2958579881656804,-0.2891278375149342,-0.3073341094295692,-0.2663378545006164,-0.2708333333333333,-0.3024618991793668,-0.2958579881656804,-0.283132530120482,-0.30327868852459,-0.3081395348837209,-0.2672413793103447,-0.2534504391468004,-0.3629550321199143,-0.3490153172866521,-0.4166666666666666,-0.4459962756052141,-0.4262295081967212,-0.3922369765066393,-0.3636363636363636,-0.3176605504587156,-0.3081395348837209,-0.2874251497005987,-0.3284424379232504,-0.2663378545006164,-0.2362002567394094,-0.3897435897435897,-0.3432671081677704,-0.375,-0.3683651804670913,-0.2342342342342341
BDAJ-L,27.0,0.0419281232173416,2.691253955982882e-07,0.0403916082670101,0.098805340829234,0.2263434253156072,1.663022508820729,19.7,0.7272594619181139,-0.0039364438635105,0.0064775671621437,0.0062375956903884,1.0,0.2079646017699115,0.2150226991333056,5.3934776971124354e-08,-0.0622992037994092,6.680797735054643e-09,0.2359550561797752,-0.0075584711922418,3.9875169008143124e-07,-0.0494661146219219,4.0,0.4437429553373546,0.0374380936916456,0.0383126284251093,0.1294934271519244,1.0327192336035371,0.0259375855461264,0.0643682065217391,0.0327192336035372,0.42170926986343,-0.0175438596491228,0.0106382978723404,0.021505376344086,0.0594795539033456,0.0961538461538462,0.1825726141078838,0.2954545454545454,0.383495145631068,0.4540816326530612,0.532258064516129,0.5489130434782608,0.6101694915254237,0.7592592592592593,0.7701863354037266,0.7701863354037266,0.7701863354037266,0.7701863354037266,0.7592592592592593,0.647398843930636,0.7484662576687118,0.7924528301886793,0.8152866242038217,1.1755725190839694,1.035714285714286,1.1111111111111112,1.050359712230216,0.9791666666666669,0.8627450980392157,0.8152866242038217,0.78125,0.875,0.9000000000000001,0.6764705882352942,0.7272727272727275,0.7484662576687118,0.875,0.9655172413793104,1.050359712230216,0.912751677852349,0.8874172185430464,1.1923076923076923,1.435897435897436,1.4152542372881358,1.375,1.5000000000000004,1.2093023255813953,1.0802919708029195,1.065217391304348,1.2440944881889764
